,tweets_VERB
93,"Utiliza repelente de insectos, camisas de manga larga y pantalones largos, evita picadura de mosquitos con #Dengue, #Chikungunya y #Zika"
94,Buscan esterilizar a mosquitos para combatir el Zika en México https://t.co/wbsovRPnqo
95,Discúlpame escuche pelotudeces 12 años es el síndrome K !!! Hasta hicieron un mosquito con virus k (ZiKa)  https://t.co/L2jh9Y34jI
96,Estudian comportamiento de mosquitos para combatir el zika - https://t.co/SEAAB9KYcJ
97,"Estudian comportamiento de mosquitos para combatir el zika: El Instituto de Ecología (Inecol) en Xalapa, Verac... https://t.co/883PGlEAUM"
98,Tomando las medidas necesarias para prevenir el #Zika es una de las maneras para protegerte a ti y a tu familia. https://t.co/NdTZWfv78u
99,Pide Sec. de Salud mantener patios limpios por mosquito del Zika  https://t.co/tBNE17JRQk  @ssaludsonora @gilbertoungson @OctavioAlmada1
100,Ensayan en México radiación nuclear contra mosquito del Zika https://t.co/QaP1I7UhjB
101,“Combatir el zika tratando solo de erradicar al mosquito no funcionará” https://t.co/CNYKYhq1hZ
102,Poner limones pinchados con clavitos de olor en el cuarto ayuda anti mosquitos zika con→ https://t.co/G5G3Nbudkp https://t.co/FWL7cUMI0I
103,Ensayan en México radiación nuclear contra mosquito del Zika https://t.co/fdqYMob4f1 https://t.co/ZntRDbwydM
104,"Tengo una roncha en el brazo, seguro me pico un mosquito esos que tienen zika y no sé que más."
105,Protegerán al Papa del zika https://t.co/d2M9P360c5
106,Venden sapos en la web ante la amenaza de mosquitos con zika y dengue | https://t.co/l7uFE9QES7 https://t.co/hiYCsezf5i
107,“Combatir el zika tratando solo de erradicar al mosquito no funcionará” https://t.co/uP47lFHvyV vía @el_pais
108,Estudian comportamiento de los mosquitos para combatir el Zika https://t.co/EsDwrAYUu2
109,“Combatir el zika tratando solo de erradicar al mosquito no funcionará” https://t.co/ZigzVsDB4a vía @el_pais
110,Venden sapos ante la amenaza de mosquitos con zika y dengue https://t.co/PGLjyn1A3r Y los sapos q se tragaron los q votaron el cambio?
111,Vea este gráfico sobre el mosquito que transmite el Zika y otras infecciones. https://t.co/ftRDrO9XOY https://t.co/kzAURQfWLR
112,Busco empleo en Canarias https://t.co/v4JNx7lRr7 Gráfico sobre mosquito que transmite el Zika y otras infecciones. …
113,"Ver 'Spot: Ciclo de vida del mosquito Aedes Aegypti (dengue, chikungunya y zika (Año 2016)'. INSTITUTO TALADRIZ... https://t.co/EGn2K6Um8P"
114,"Revisen el tanque de agua de sus casas, debe estar bien tapado. Los mosquitos se reproducen en su interior!  #dengue #zika"
115,Prefiero que me piquen mosquitos llenos de zika dengue chikungunya y nyong njkuywyr no se que antes de seguir escuchando Solito y Lean On
116,Venden sapos en la web ante la amenaza de mosquitos con zika y dengue https://t.co/ueu2CwBtWZ
117,Eliminar posibles criaderos de mosquitos y usar repelente son las mejores maneras de prevenir el #Zika https://t.co/b9NrScqTEr
118,“Combatir el zika tratando solo de erradicar al mosquito no funcionará” https://t.co/XOby5IpiyY
119,Enganchan sapos como si fueran príncipes y no sirven ni para agarrar mosquitos de dengue o zika
120,Poner limones pinchados con clavitos de olor en el cuarto ayuda anti mosquitos zika con→ https://t.co/AnvEyGjVjg https://t.co/SahKlOPQTJ
121,"Ensayan con radiación para luchar contra mosquito del #zika, más https://t.co/0mgjvmHATN #NoticiasKIMICEG"
122,Evita los criaderos de mosquito en las aguas almacenadas. Conoce los sintomas en caso de tener virus Zika. https://t.co/JwukZtmVC6
123,"Venden sapos en la web ante la amenaza de mosquitos con zika y dengue | Dengue, Zika https://t.co/1OfFSBWkBJ"
124,"Venden sapos en la web ante la amenaza de mosquitos con zika y dengue ,,.https://t.co/VwTuutbMXO"
125,Ensayan en México radiación nuclear contra mosquito del Zika https://t.co/IuNxsKzM9L #LoViEnUnoTV vía @UnoNoticias
126,"Elimina los criaderos del mosquito que causa el dengue, chikungunya y zika ¡Al mosquito ni agua! @PreMinSalud https://t.co/BfIIQFgKpV"
127,“Combatir el #zika tratando solo de erradicar al mosquito no funcionará” https://t.co/bo9rEjZ9uP vía @el_pais
128,Ensayan en México radiación nuclear contra mosquito del Zika https://t.co/dLLoBNHBHH
129,Ensayan en México radiación nuclear contra mosquito del Zika: El Organismo Internacional de Energía Atómica (O... https://t.co/lno7BrvZhS
130,@fernandogray @MunicipioEE @HablanEE además de fumigar hay que erradicar focos de mosquitos. Hay que mejorar pendiente. #Dengue #Zika
131,Ayudanos a proteger a la #niñez de América Latina del #Zika. Tu apoyo es vital. https://t.co/vkCit5KZ7U https://t.co/pHNVwA14aG
132,Ensayan en México radiación nuclear contra mosquito del Zika https://t.co/MTXZ4Yejrw
133,"Pregúntale a tu jefecita, que no tomó ácido fólico y fué picada por el mosquito del Zika con fatales consecuencias 😕 https://t.co/yuKJJJ2Xmw"
134,Tomando las medidas necesarias para prevenir el #Zika es una de las maneras para protegerte a ti y a tu familia. https://t.co/hnNArlPr6N
135,Conoce como funciona el Aceite Ratero para repeler #mosquitos... #zika #aceitesesenciales https://t.co/Un6OwTqbSI https://t.co/x1wWLDuZcp
136,Quieres protegerte contra el Zika y Chikungunya? Adquiere los productos Lemong!! Llama ya al 7929-7788!! https://t.co/nLsBCK7ke8
137,Llega el mosquito OX513A para combatir el virus zika. ¿Quieres saber más? https://t.co/klpVWKbfDT
138,Analizan uso de mosquitos transgénicos para combatir el Zika en Colima https://t.co/Yg8xv9gMVj
139,Conoce las nueva tecnología para evitar el Zika +8 Maneras de protegerte https://t.co/jN7AgN7ubO
140,Analizan uso de mosquitos transgénicos para combatir el Zika en Colima https://t.co/cP31Fw1vPz #Noticias #Colima
141,Tengo una remera de AC/DC con dibujitos de mosquitos por todos lados. Es la remera del zika
142,Analizan implementar mosquitos transgénicos en contra del zika en Colima https://t.co/7sEZld3c0t https://t.co/ybi4WBJXlD
143,Tomando las medidas necesarias para prevenir el #Zika es una de las maneras para protegerte a ti y a tu familia. https://t.co/9vwwbrVFGK
144,Analizan uso de mosquitos transgénicos para combatir el Zika en Colima https://t.co/3ZkIq1ckOn
145,"Venden sapos en la web ante la amenaza de mosquitos con zika y dengue | Dengue, Zika https://t.co/3fhF1vskR6"
146,Ensayan en México radiación nuclear contra mosquito del Zika https://t.co/3znr06QLfM
147,Puede que el mejor modo de acabar con el virus zika sea exterminar a los mosquitos como especie https://t.co/Zg8gmEbfVe vía @magnet_es
148,"Ensayan con radiación para luchar contra mosquito del #zika, más https://t.co/0mgjvmHATN #NoticiasKIMICEG https://t.co/p0latEztFM"
149,Protegerán al Papa del zika - EL DEBATE (Comunicado de prensa) (Registro) (blog)
150,Analizan uso de mosquitos transgénicos para combatir el Zika en Colima https://t.co/xNFKASBtEh
151,"#Sabíasque los síntomas del #Zika pueden presentarse entre 2 y 7 días después de la picadura de mosquito Aedes,... https://t.co/BH56PxQj8y"
152,Salí un segundo y cuando entro me veo SEIS picaduras de mosquito sale ese tal zika con ellassss
153,"Mantené tu casa libre de criaderos de mosquitos, y hacé tu parte en la lucha contra el virus del #Zika https://t.co/EWodymhRvd"
154,Salí al patio descalza 2 minutos y me picaron 84 mosquitos ojala alguno sea el zika
155,Adoptan medidas para erradicar mosquito de virus Zika en Isla de Pascua https://t.co/bmw7OKyR5h https://t.co/jHjKJNIPvf
156,Identifica los síntomas por picadura de mosquito infectado de #Zika #Dengue o #Chikungunya ¡Protégete! https://t.co/YfyjWRrzQP
157,Adoptan medidas para erradicar mosquito de virus Zika en Isla de Pascua https://t.co/a2nNFDILPe
158,"Vendo mosquitos con dengue y zika, en Europa no se consiguen."
159,Sospechan de dos casos de enfermedad febril transmitida por mosquito del Zika: https://t.co/MHxUjwV8Z7 https://t.co/yNo7R4eWfb
160,Venden sapos por la web para combatir mosquitos con Zika y Dengue - ¿Qué te parece? https://t.co/uq5cZOK9DE
161,"Evite el contagio del Zika, #Denunciecriaderos de mosquitos y ponga en práctica estas recomendaciones. https://t.co/aHoXNvKeG2"
162,"Quiero ir a Buenos Aires para quejarme del calor y los mosquitos, ya veo que me pica alguno con zika o dengue JAJAJA. Suerte de mierda"
163,"Mire señor médico, el mosquito Aedes aegypti pica y puede provocar zika, dengue o chikungunya, o sea previniendo una se combaten las tres."
164,INTENSIFICA MUNICIPIO PROGRAMA DE LIMPIEZA EN COLONIAS -  https://t.co/g5EUtBhmIr la posible presencia del mosquito del Zika en esta c...
165,Levante la mano si usted ya le cambió de nombre a los mosquitos y ahora grita cosas como 'cierra que se mete el Zika' o ya de plano UN ZIKA!
166,"Viste con ropa clara. Los colores oscuros atraen más a los mosquitos, mientras que los claros los repelen. #Zika"
167,"Elimina criaderos para evitar la presencia del mosquito  Aedes aegypti causante de #dengue, #chikungunya y #zika https://t.co/vU6FkfLEMc"
168,Estudian comportamiento de mosquitos para combatir el zika https://t.co/CUuAUUlu4V
169,Prevenir es la mejor forma de evitar los criaderos de mosquitos en tu vivienda. Estos son los síntomas del #Zika: https://t.co/0y3hmvVLxd
170,Plantear el virus Zika extendido por mosquitos protege a estas Corporaciones de tener que hacer frente a indemnizaciones
171,Estudian comportamiento de mosquitos para combatir el zika https://t.co/PoLhhXFU97
172,Eliminando los criaderos de mosquitos podemos prevenir y combatir estas  enfermedades. #Dengue #Zika #Chikungunya https://t.co/SAxY3pflqy
173,"Venden sapos y ranas en internet para combatir el dengue y el zika | Dengue, mosquito, zika - Infobae https://t.co/XrFsmkV3K9"
174,Discutirán la posibilidad de luchar contra mosquito transmisor de Zika con radiación nuclear https://t.co/NGAdYKpbnb https://t.co/960oq0mE5r
175,Sospechan de dos casos de enfermedad febril transmitida por mosquito del Zika en la región: https://t.co/MHxUjxcJQF https://t.co/zaCyqwDK9i
176,Venden sapos anti mosquitos Zika boludo. Acá no hace plata el q no quiere
177,Usar repelente. El repelente hace precisamente eso: repeler insectos. #Zika #Dengue #Chiquingunya.
178,"Dice el mosquito del zika que basta que está cagado de calor, se vuelve a Brasil."
179,“Combatir el zika tratando solo de erradicar al mosquito no funcionará” https://t.co/rT6YgpTthh vía @el_pais
180,Venden sapos en la Web ante la amenaza de mosquitos con zika y dengue - Leer:  https://t.co/GrOTlerehE
181,"Cuida tu salud y la de tu familia. Evita la picadura del mosquito zika, te compartimos información para que... https://t.co/uIALBvFe16"
182,Tengo miedo que entre los mosquitos que andan dando vueltas por mis piernas este el famoso inigualable ZIKA 😲😲😲
183,venden sapos para que coman los mosquitos con zika pero ni en pedo te compro un sapo hamigo sabés como va el raid
184,Sospechan de dos casos de enfermedad febril transmitida por mosquito del Zika en la región: https://t.co/snxhMt3PYa
185,"Creo que ya me picó el dengue, el zika, entre otros mosquitos jaja"
186,"Venden sapos en la web ante la amenaza de mosquitos con zika y dengue ,....https://t.co/VwTuutbMXO"
187,"Mantené tu casa libre de criaderos de mosquitos, y hacé tu parte en la lucha contra el virus del #Zika https://t.co/AtORjpmDjb"
188,Conoce las 10 formas de protegerte del #Zika. #ComunicaciónQueTransforma #TipsDeSalud.  Fuente: BBC Mundo https://t.co/9UoCJNuNSk
189,Conozcan algunas formas de protegerse del ZIKA. https://t.co/cpwp6iE5Gv
190,FUMIGAN COLEGIOS DEL CALLAO PARA PREVENIR EL ZIKA  Para contrarrestar la proliferación del mosquito transmisor... https://t.co/0I1EgPYGzE
191,#SabíasQue Los #mosquitos adquieren el virus cuando pican a una persona infectada con #Zika https://t.co/caKSNxjQEY
192,"Evitemos el Zika, el Dengue y la Chikunguya. Eliminemos los criaderos de mosquitos para frenar estas enfermedades https://t.co/ydpCrMhrk3"
193,"Proponen una “atracción fatal” para el mosquito del dengue, zika y chikunguña https://t.co/aSkJ9Dflig https://t.co/pJ3fCph3Rl"
194,INFORMA LA CARIÑOSA IBAGUÉ: Mosquito transmisor del Zika se estaría adaptando al clima templado. El mosquito... https://t.co/Wrjdt1hptu
195,Conoce cómo protegerte del zika en la programación de AYRE1 https://t.co/kKZSneatP2
196,Intensifican acciones contra el mosquito del zika - https://t.co/u3EIPUdbjy #GoogleAlerts
197,"Tod@s al combate del dengue, chinkungunya y zika. Al mosquito ni agua https://t.co/brQk89jc7h"
198,Intensifican acciones contra el mosquito del zika en #Cúcuta https://t.co/fdzUW51QKi https://t.co/FmHyg8MEFZ
199,Espero que el mosquito que me pico entrenando no tenga ni dengue ni virus zika ok?
200,"Saben algo sobre el virus #zika ??  Es transportado mediante el mosquito que transmite dengue, chicungunya  Mas... https://t.co/xrhPJmmwST"
201,Eliminemos los criaderos de mosquitos y evitemos el zica
202,Aprenda como prevenir la propagación de mosquitos de  #Dengue #Chikungunya #Zika COMPARTE esta información. https://t.co/nAzg81cdp0
203,"Relacionan el virus zika con microcefalia. El vector, Aedes aegypti es familia del mosquito tigre https://t.co/lLxNBpkHgx"
204,"Considerando q el dengue, zika y la chikungunya se transmiten mediante la picadura del mosquito Aedes aegypti, luego de las lluvias se debe:"
205,Mantén lejos al mosquito portador del #Zika usando: https://t.co/2P7OctmjMZ https://t.co/RgoKt639lX #chikungunya https://t.co/T4hGpPdEZI
206,Deteniendo el virus del Zika: el caso de los mosquitos mutantes https://t.co/1xW3iwaLp4
207,Detener el Zika depende de todos. Aprende cómo proteger a tu familia y a tu comunidad. https://t.co/CMUG2Gw9QS #DetenelZika
208,Lanzan app que permite reportar criaderos de Mosquitos a las autoridades sanitarias: https://t.co/LuMQKEs28H
209,"Saben me pico un mosquito tigre de esos q contagian el Zika y parece que tengo 2 ciruelas en el culo, 1 en el brazo y 1 en cada pierna q mal"
210,"Tirando botellas y chatarra evitas la propagación del mosquito del Zika, Dengue y Chikungunya #TodosSomosBrigadistas https://t.co/QF4pzktzU2"
211,"cuidate del #zika, #dengue y #chicungunya. Elimina los criaderos de mosquitos y coloca telas metálicas en ventanas y puertas"
212,Detener el Zika depende de todos. Aprende cómo proteger a tu familia y a tu comunidad. https://t.co/0AVnSA1vSz #DetenelZika
213,"Acabemos con los criaderos de mosquitos; cuidado con el Zika, Dengue y Chikungunya, actuemos #TodosSomosBrigadistas https://t.co/ajuNptCbEh"
214,Conozca la Isla que tiene el mosquito transmisor y no tiene casos de zika  https://t.co/jC2KPrHbVh
215,Crían mosquitos portadores del Zika para acabar con la enfermedad https://t.co/oft2AIMPf1
216,Llega el calor y llega el mosquito con la enfermedad Zika #Aguascalientes #Mexico a extremar precauciones
217,Aleja a los mosquitos y minimiza el riesgo de #Chikungunya #zika https://t.co/0Ly4PNPFIg https://t.co/NYxC0hyy36 https://t.co/cNyrxQMUsN
218,Crían mosquitos portadores del Zika para acabar con la enfermedad https://t.co/hOP5JPU8ih
219,Esterilizan con radiación a los mosquitos machos para erradicar el #zika https://t.co/cL4SNAFzay
220,Esterilizar mosquitos con radiación para acabar con el zika ¿crees que funcione? https://t.co/2oC9eeZ2tt https://t.co/wUCBpyzlco
221,Esterilizan mosquitos con radiación para erradicar el #zika https://t.co/Ql9EFWupl8 | #Noticias https://t.co/q9yEtZT9Ox
222,Proponen infectar mosquitos con bacteria resistente al zika https://t.co/FwJFKr57il https://t.co/jXjm67ED4U
223,"Esterilizan mosquitos en Viena, con radiación, para combatir el virus del zika https://t.co/psAV2H8vhf"
224,Esterilizan con radiación a mosquitos machos para erradicar el zika:  https://t.co/xezYeFaH3H https://t.co/8L2i4BSSTB
225,Crían mosquitos portadores del Zika para acabar con la enfermedad https://t.co/15P7O17HQ6
226,Crían mosquitos portadores del Zika para acabar con la enfermedad https://t.co/DmbkejsYwE
227,Estudian comportamiento de mosquitos para combatir el zika https://t.co/jl1JRZ1gok
228,entró un mosquito a mi habitación y tengo miedo que sea el dengue o el zikayahoo respuestas que hacer ante esta situación
229,"@fanilacani aro.... ioputa que malo, peor que un mosquito con Zica"
230,Esterilizan con radiación a mosquitos machos para erradicar el zika  https://t.co/U5uRZ1m9fW https://t.co/ShoE2ghzNu
231,Ando perseguido con lo del mosquito Dengue y zika eso
232,Proponen infectar mosquitos con una bacteria resistente al Zika https://t.co/0N3en0DyCn
233,Controlar los mosquitos para detener el #Zika https://t.co/6IG8RNGzyx via @el_pais
234,Conozca la Isla que tiene el mosquito transmisor y no tiene casos de zika https://t.co/JPP5fzzNYL
235,Piden a la ciudadanía denunciar criaderos de mosquitos: La cifra por casos de virus zika se elevó... https://t.co/Iyqtx7e4zi @tvnnoticias
236,"Sorprende que la ONU ponga al mismo nivel un virus, un mosquito y un niño discapacitado. https://t.co/1UVpgO8kBM"
237,Controlar los mosquitos para detener el zika  https://t.co/xsIglw0KCr https://t.co/7AszuJCi2F
238,Puso en su TL 'Buenos dias' antes que a mi por DM. Yo creo que ya mejor dejo que me pique un mosquito para morir de zika.
239,Aplica este repelente contra mosquitos y zancudos. Prevé el virus Zika #DatoCruzsalud https://t.co/uKFn3UTIEQ
240,"Eliminar los criaderos de mosquitos en tu hogar es la forma más efectiva de acabar con el dengue, chikungunya y zika https://t.co/WoUUwx4PnD"
241,Esterilizan con radiación a mosquitos para erradicar el zika | Código San Luis https://t.co/eh4KSjUo6w vía @codigosanluisi
242,"Elimina los criaderos de mosquitos y evita que se propaguen los contagios de Zika, y chikungunya. #AlMosquitoNiAgua https://t.co/DVJR1PozC1"
