,tweets_VBD
43,Received a door hanger on avoiding #zika and handling mosquitoes from @HillsboroughFL this weekend. https://t.co/G3X8V0p8ar
44,"Turned it on any of the TV news --- it's all Trump or Zika. Yep, still all bullshit dipped in e coli sprayed with ebola. No thanks."
45,Spotted the @andersoncitysc mosquito spray truck Linley Park. #nostandingwater #zika #mosquito @independentmail https://t.co/XKFsD5pf2D
46,got right now its not certain if the Summer Olympics will happen this year to protect man on it with Zika
47,Booked the summer holiday and now going to change it as don't fancy being bitten by diseased mosquitos #ZikaVirus
48,"said the corporation intended to ramp up its action in the fight against Zika, with house -to- house spraying which began on Wednesday in"
49,Picked up a load of CDX Plywood. Manufactured in Brazil. Hope the skip was fumigated for ZIKA mosquitoes. https://t.co/GnfVd1MbPi
50,"got 14 mosquito bites on one leg and 9 on the other, meanwhile Zika virus is knocking about. No biggie x"
51,Woke up with 3 bug bites damn this mosquito musta been on a secret mission last night #zika
52,got this nut ass mosquito bite prolly got that zika shit lol
53,got bit by a mosquito. think im gonna die from zika virus 😩
54,Had the chance to speak with future moms about prevention. Fewer people with #Zika = fewer mosquitoes to spread it. https://t.co/XEVpR0oefA
55,did they. just. say zika. to the other goalkeeper ¿
56,"Procrastinated a tiny bit today. Have a look at the new, subtly more purple @VirusHIT website: https://t.co/OzBDDHSZBz #Mosquito #ZikaVirus"
57,did you miss?New post: How Doctors in Florida Are Protecting Pregnant Women From Zika  https://t.co/Jp5U0qNzjR
58,Was the Zika outbreak caused by genetically modified mosquitoes: https://t.co/I1XgUzKMyj via @YouTube
59,Was the Brazilian Zika virus outbreak centered in a place where GMO mosquitoes were released? –... https://t.co/PgxuyzZXQj
60,Was the Zika outbreak caused by genetically-modified mosquitoes? https://t.co/URmfLYkM8I https://t.co/EKMFdVCMlA
61,Was the Brazilian Zika virus outbreak centered in a place where GMO mosquitoes were released? https://t.co/16WznQDR9V #disease
62,Was the Zika outbreak caused by genetically-modified mosquitoes? The mosquitoes were released in Brazil to help... https://t.co/YhSeXiXqdp
63,Picked a perfect time to go to Hawaii #Zika #DengueFever
64,"Swallowed a mosquito while playing hoops, probably got Zika now...😷"
65,did you miss?New post: How Doctors in Florida Are Protecting Pregnant Women From Zika  https://t.co/Jp5U0qNzjR
66,Warned not to : Zika Outbreak Epicenter in Same Area Where GM Mosquitoes Were Released in 2015 https://t.co/htAXhGddyx via @theantimedia1
67,Booked a flight home to Miami for Rosh Hashanah and immediately googled 'best mosquito repellent' Any recs? #Zika
68,Woke up with mosquito bites... At what point is it acceptable to call in sick with #Zika ?? #justasking
69,Woke up this morning to a news that the #ZikaVirus can now be spread through #sex #MHSexpert https://t.co/s9q02DWc3p
70,Was the Zika Outbreak Caused by Release of Genetically Modified Mosquitos in Brazil? https://t.co/UGMWBPCrJo
71,Was the Brazilian Zika virus outbreak centered in a place where GMO mosquitoes were released? https://t.co/mjyI0MAyYH nice question!
72,"Had to be Texas . . . Everything's big in Texas, even the mosquitos #ZikaVirus #zikatexas #texas #mosquitoes https://t.co/R7Th4yiSfD"
73,"got bit by a mosquito, so im bringing home the zika virus, america"
74,did you miss?New post: Florida May Have Its First Case of Zika from Local Mosquitoes  https://t.co/VBT3lU09Jg
75,Was it because of the Zika Mosquito tweets? https://t.co/foETwbjHns https://t.co/cbqkmayGGB(Full fairly nsfw version) #MyFirstQuestionInHell
76,got ppl in some parishes cant get water in their pipes for months got sppl in some areas who collectively breeding zika mosquitoes
77,Smacked down like a mosquito. #Zika #Florida https://t.co/0p7NH9YMr7
78,was just bitten by the type of mosquito that carries zika #gapol
79,said b4 so say again....a world wide Zika epidemic &amp; human rights violations shouldn't stop sport? #Rio2016
80,did someone say #zika is bad #MiddleEast #AleepoEvil #CutaneousLeishmaniasis https://t.co/SBxNe1kkA8
81,Was the Zika Outbreak Caused by Release of Genetically Modified Mosquitos in Brazil? | John Hawkins' Right Wing News https://t.co/Bi8OHjipvp
82,Was the Zika Outbreak Caused by Release of Genetically Modified Mosquitos in Brazil? https://t.co/Kwtv2h6Evv
83,"gotta hand it to the mosquitoes though, pretty smart of them to use zika virus to get pregnant women to smother themselves in DEET"
