,tweets_VBP
109,"Do you think Zika concerns are blown out of proportion? To vote, reply with: 'Yes' or 'No' [5/25]"
110,"Do you think Zika concerns are blown out of proportion? To vote, reply with: 'Yes' or 'No' [6/25]"
111,"Do you think Zika concerns are blown out of proportion? To vote, reply with: 'Yes' or 'No' [7/25]"
112,"Do you think Zika concerns are blown out of proportion? To vote, reply with: 'Yes' or 'No' [8/25]"
113,"Are the @Pirates and @Marlins concerned about mosquitos, or the other method of spreading #ZikaVirus? #MLB https://t.co/GJm8EBBWsL"
114,"Do you think Zika concerns are blown out of proportion? To vote, reply with: 'Yes' or 'No' [10/25]"
115,"Do you think Zika concerns are blown out of proportion? To vote, reply with: 'Yes' or 'No' [12/25]"
116,Don't believe everything the media wants you to believe. There's no #zika virus spread here. #PuertoRico ☀️🌴🌺🐠🏄🏻 https://t.co/Fc2TAafeVz
117,"Do you think Zika concerns are blown out of proportion? To vote, reply with: 'Yes' or 'No' [14/25]"
118,"Do you think Zika concerns are blown out of proportion? To vote, reply with: 'Yes' or 'No' [15/25]"
119,"Do you think Zika concerns are blown out of proportion? To vote, reply with: 'Yes' or 'No' [18/25]"
120,"Do you think Zika concerns are blown out of proportion? To vote, reply with: 'Yes' or 'No' [21/25]"
121,Don't tell the Zika mosquitos. #UFC198 #Curitiba https://t.co/7OpO2RLz6x
122,Don't need $2B to fight #ZikaVirus Rescind ban on DDT and eliminate mosquitos - Done Truth About DDT/Silent Spring: https://t.co/029tohGTYn
123,Don't know about the Aedes mosquito? Here's 10 facts you need to know about #Zika: https://t.co/fBejz1bKYd https://t.co/Pxlo676xt8
124,Don't forget your condoms and bug spray.  https://t.co/NJxGOpikAs
125,Are the Doctors sure it is Zika and not the chemicals being sprayed to fight Zika? https://t.co/tD2kIwC2Ym
126,Have you seen a million mosquitos? How many of those are aedes &amp; perhaps Zika carrier?  Check out this Mosquito... https://t.co/1A8rITJGDw
127,Don't break anyone's heart. Now Zika can spread via tears too !  #ZikaVirus
128,"Have elderly relatives in FL in fragile health. If they get Zika, they'll die- Dems must pay ransom 2 GOP 2 protect them. #SeeYouinHellMarco"
129,Don't blame the Senate for the Zika vote. Miami Beach City Hall is swarming with Zika spray protestors saying they don't want that there.
130,Don't believe the hype about Zika virus...it's been around for decades. DEET spraying is deadly: https://t.co/rjGAYYeYCW
131,Want to travel but worried about the Zika virus.  Iceland does not have a single mosquito!  #zikafree #Iceland https://t.co/MYLAq3H8c5
132,"Do not put a fish bowl next to a pesticide can, fish will die. Spray pesticides over humans, nothing will happen #Zika #ZikaVirus #florida"
133,"Do you have questions about the Zika virus? Learn more about prevention, mosquito control and the latest news. https://t.co/0SEwSPXN5M"
134,"Hope the strategy works, Fight Mosquitoes, Fight Zika #RespectForLife #HealthForAll https://t.co/0R2T0DhEJc"
135,"Do you have research to show #DDT is effective against any mosquito in 2016, and especially #Zika carriers Aedes adgypti? @novalibertatis"
136,"Don't donate blood if you've traveled to Mexico, officials say: More outbreaks of Zika are expected across the... https://t.co/cUSa5hdCJM"
137,Don't miss Dr. Randy's newsletter for tips on protecting you &amp; your family for the Zika virus! https://t.co/yGPsfqDf0f
138,Don't feed storm drains! Sweep clippings away from sidewalks/drains to prevent #mosquitoes. #Zika https://t.co/Ksni8Bgjb6
139,Are the mosquitoes that bear the #ZikaVirus coming to IA? Hear from panel of experts on 5/18 at Food 4 Thought https://t.co/lfnIT27INL
140,are responsible for allowing zika to spread and more. with intent.
141,Don't harm innocent mosquitoes until they spread zika virus  https://t.co/WQP41t7Tvz
142,Won't slow Zika spread but could limit damage to babies. iFrancis Says Contraception Can Be Used to Slow Zika https://t.co/kja1RYS3Ye
143,don't worry about that zika mosquito crap - your rocknroll lifestyle makes you immune to all that petty-ass stuff https://t.co/7VFzmM1gBk
144,Don't get bit by the Zika Virus: Six Tips to Protect Yourself https://t.co/ZNnN8eal4W https://t.co/G4RyoGWNwb
145,"Don't panic yet, there is a study that seems to link birth defects to chemical used to combat mosquitoes #Zika https://t.co/rTcIrS6rS8"
146,Do you have the itch? Let's hope not. Invasive mosquito species capable of carrying #Zika is here. @KESQ @LocalTwo https://t.co/U8PnFhDdo0
147,Don't let the Mosquitos get you this summer. Buy Bug Guard at https://t.co/1JGZjPwZVg. #ZikaVirus #summer https://t.co/tagj4uAmrX
148,Don't let your #birds get dirty!Mosquito dunks in the #birdbath kill #zika carriers! Safe for birds &amp; pets! https://t.co/IZJb426clx
149,Have a look on this video about #Zika by @SAWBOsm #ZikaVirus #mosquito #Aedesaegypti https://t.co/4pXRMyyxbe
150,Don't be concerned about the Zika virus this summer.  Give Mosquito Authority a call today. https://t.co/j1rECmrrik
151,"Don't forget to enter to win a FREE Mosquito Treatment valued at $75.00. Enter now - March 3, 2016. #zika https://t.co/8Ib8S7cmUq"
152,"Don't Rob Ebola Funds to Pay for Zika, CDC Warns - Courthouse News Service: STATDon't Rob Ebola Funds t... https://t.co/WeX6mfudya #Ebola"
153,"Don't Rob Ebola Funds to Pay for Zika, CDC Warns - Courthouse News Service https://t.co/AYYbAjhqUV #EbolaChan"
154,"Don't Rob Ebola Funds to Pay for Zika, CDC Warns - Courthouse News Service https://t.co/VsImT0pRjD"
155,don't say a word Scientists find link between Zika virus and stillbirths in pregnant women... https://t.co/1ffz72xkCq RT #fks #wild#drugs
156,Don't forget your bug spray! Read more by @mperks1 on how @univmiami has informed students about the Zika virus. https://t.co/skHHVcGGF6
157,Have a mosquito bite one inch in diameter. Probably got the Zika.
158,Do they have zika repelling features? https://t.co/AC1PmNrCU7
159,Don't be a part of the transmission cycle---Fight the spread of #ZikaVirus by wearing insect repellent!
160,Have the Zika mosquitoes killed the west Nile mosquitoes?
161,Don't cut the nose to spite the face - Zika Mozzie Spray Kills Millions of Honeybees https://t.co/0qXDy7KGYx
162,Don't spray for Zika!! It's killing the honeybees!!
163,"Don't forget to enter to win a FREE Mosquito Treatment valued at $75.00. Enter now - March 3, 2016. #zika https://t.co/znOCWXQwKd"
164,"Don't Use Ebola Funds To Fight Zika: It's coming. Zika virus has turned up in mosquitoes in Puerto Rico, where... https://t.co/ZP9aw3762L"
165,"Don't blame the mosquitos. The real infectious disease problem in Brazil isn’t actually Zika, it’s syphilis https://t.co/2Co7PNWVh6 via @qz"
166,Don't leave home without #KeyLyme All Natural Insect &amp; Tick Repellent 󾬔 #Lyme #lymedisease #tick #mosquito #zika... https://t.co/Z2F7E9mqLG
167,Didn't they say zika earlier? Wishing her a speedy recovery. https://t.co/e0ela96DIZ
168,Don't worry too much about the Zika virus - something WILL eventually be done about it (since mosquitoes can fly into gated communities).
169,Don't fear #zika because it is all about spraying the population than the virus. Hidden in plain view. #Hillary is behind all evil doings.
170,Don't buy in to the #Zika scare tactics used by Nobama #CDC. Everything they say is to get more $$. Don't trust anything govt says #tcot
171,"Have you traveled to a country that has #ZikaVirus? If so, learn how to protect you &amp; your partner upon your return https://t.co/XWrbYiO5J0"
172,"Don't warn ACT-TO PREVENT&lt;&lt;U.S. warning: Zika could spread to Gulf States, persist for one to two years https://t.co/PIYoOOmbf5"
173,Have questions about the Zika virus? @ECDOH shares information for travelers to protect themselves from the disease: https://t.co/6geoTAro54
174,Don't look now the zika mosquito may have had help getting around...attack on unborn...needs investigation if they don't already know
175,Don't stand next to this Billboard.  'Billboard mimics human sweat to entrap Zika-carrying mosquitoes' https://t.co/XL5ikiXy8N
176,"Don't Use #Ebola Funds To Fight Zika: It’s coming. Zika virus has turned up in mosquitoes in Puerto Rico, where… https://t.co/Rp2OpBBKJY"
177,Don't feed storm drains! Sweep clippings away from sidewalks/drains to prevent #mosquitoes. #PreventTheBite #Zika https://t.co/CMjbLjBFfT
178,"Do You Have Zika Concerns?: Zika virus is transmitted through the bite of an infectious mosquito, although cas... https://t.co/u07YGEGQen"
179,Ain't tryin to hoop outside... Them zika mosquitos are outchea
180,Want to hear what a virologist has to say about #Zika? Check out this radio show: https://t.co/vfD8doagig
181,Don't get bit by Zika Virus: Six Tips to Protect Yourself https://t.co/ZNnN8eal4W https://t.co/RWBs6IiFZb
182,Don't blame sports for Zika's spread @BioNetWork1 https://t.co/7NnAnwZ6Gh https://t.co/hXYQ4SsXML
183,Don't blame sports for Zika's spread BioNetWork PowerHour https://t.co/nHMIGIk2VR https://t.co/eP0Dwoybiz https://t.co/ATnVmbf4fP
184,Don't blame the World Cup for the spread of Zika: https://t.co/aIkcq92IPC https://t.co/ZesSG8b8Qe
185,Do you have a great idea to help prevent the spread of #zika? @USAID  https://t.co/S3di6CzOzJ
186,Don't let the bad bugs bite - no mosquitoes / no Zika!  MAC KID special offer from TeamElite - Elite Pest... https://t.co/pzoPLtt2YJ
187,Don't dare look a mosquito in the eye! A little humour tossed into the #zikavirus mix can't hurt! #publichealth  https://t.co/lCTRBAntfV
188,Don't let Zika stop the Olympics: There are ample reasons for alarm: The Zika virus continues to spread in Br... https://t.co/9Z0H6pk4L4
189,"Don't panic, but it is one to watch!  Zika: Coming To America Through #Mosquitoes Travel And Sex via @forbes https://t.co/c9cNCdRGQ8"
190,Don't call them 'Zika mosquito larvae.' Call them 'Dreamers.'
191,Don't forget to reapply your insect repellent accordingly and protect yourself from #Zika https://t.co/QSigmKGbkF
192,Don't bring Zika to LA @BillPlaschke NO MOSQUITO BITES ALLOWED https://t.co/g5wFPU0aPS
193,"Don't miss @fercamarenaCIR  &amp; @AmyWalters_ on the fight against #Zika in Puerto Rico, FL and TX on the new @Reveal: https://t.co/hn5CGNnr1n"
194,"Don't give #Zika a biting chance, #Texas. Protect yourself from mosquitoes. https://t.co/jBCnfPqwJY"
195,Don't Give Zika a Biting Chance! Watch below to learn from the First Dog of Texas how to protect yourself from Zika. https://t.co/DoLh5U98GE
196,"Don't engineer mosquitos to eliminate #ZikaVirus, use dragonflies! They eat mosquitos, better for the environment! #peaceandlove @sternshow"
197,"Do you think pregnant women with Zika should be allowed to have an abortion? To vote, reply with: 'Yes' or 'No'"
198,"Do you think pregnant women with Zika should be allowed to have an abortion? To vote, reply with: 'Yes' or 'No' [2/4]"
199,Have you heard about the Islamic Zika mosquitos on flakka. #histeria
200,"Don't panic yet about getting Zika from mosquitoes, scientist say https://t.co/nKKdM42oJz"
201,"Don't want, need Doc calling Pierre's zika mosquito swat over Dan Patrick's head"
202,Don't give it to them .@POTUS Let them learn their lesson. Make them pay for it. #Florida #zika  https://t.co/SINcFsC2tW
203,"Don't worry, Giant Zika mosquitoes will eat the body, the Olympic mascot eat the mozzies, then they shoot the mascot https://t.co/egLKtBAIwF"
204,Have a backyard swimming pool in #Loudoun? Maintain proper chemistry to keep water clean and to prevent mosquitoes from breeding! #Zikavirus
205,Don't forget to join in the #ZikaChat today at 12PM EST! Learn how to protect yourself and others from #ZikaVirus! https://t.co/5xlGnwvwsg
206,"Do you think pregnant women with Zika should be allowed to have an abortion? To vote, reply with: 'Yes' or 'No' [3/4]"
207,"Do you think pregnant women with Zika should be allowed to have an abortion? To vote, reply with: 'Yes' or 'No' [4/4]"
208,Don't give #Zika a biting chance by eliminating #mosquito breeding grounds around your home.... https://t.co/FFdiNzduEX
209,"Don't give into the scam, these products won't protect you from the Zika virus: https://t.co/cow0BLNCqb"
210,"Don't give into the scam, these products won't protect you from the Zika virus: https://t.co/FkaQg16hl6"
211,"Don't give into the scam, these products won't protect you from the Zika virus: https://t.co/pGghSL2foB by @goodhealth via @c0nvey"
212,"Don't worry about Zika spend a perfect weekend in Miami, without ever going outside. 🇺🇸🌴 #Miami #Travel https://t.co/HRshCIECdS via @luxury"
213,Don't blame Solo for that goal. A mosquito bit her... #ZIKA #USWNT #USAvCOL
214,Are The Genetically Modified Mosquitos Actually The Cause Of The ZIKA Birth Defects..?  https://t.co/vi17zge75X short vie #health #ZIKA
215,Don't let the Rio fever cause you to be unprotected.. Use repellent before you head to HWT!#Zika #mosquitoes #Everybody's pharmacy cares.
216,Don't you just Love fishing for hours and all you catch is fucking Zika from all the mosquitoe bites
217,Have 30 seconds? This is what you should know about the #ZikaVirus today: https://t.co/GVsXkRjdnO #Zika #Mosquitoes
218,Have you seen a mosquito lately? Then  you want to read more about #Zika #Dengue and #chikungunya #Caribbean  https://t.co/ajyNQItz7i
219,Have there been any #Protests against #BioMedical #Research since #Zika was detected in #SouthFlorida? https://t.co/Ny8MbAd1U2 #ZikaVirus
220,Don't be surprised if they don't say the #ZikaVirus Killed #Prince To get people to get The #Vaccine
221,Don't need an alarm clock when your bladder full of red wine and you got the Zika virus mosquitos.
222,Don't let those mosquitos and worries about the Zika virus keep you from enjoying the outdoors.… https://t.co/ZDxQs5utBq
223,Do you have tarps in your yard? You might be breeding #zika-carrying mosquitoes! Watch: https://t.co/hUm5yUn4IA https://t.co/Uw1lgDGB36
224,Do you have tarps in your yard? You might be breeding #zika-carrying mosquitoes! Watch: https://t.co/QdOsEppnGw https://t.co/On0fNKFtEV
225,Have you heard ‘MC TONY - DEU ZICA- O MOSQUITO PIKAAAAA’ by Sylvio D'avila on #SoundCloud? #np https://t.co/LZ0l3trSTo
226,Do you have a swimming pool? Are you using it to breed #Zika-carrying #mosquitoes?! https://t.co/3ij1bNw1ZK https://t.co/hHWBQrEGrm
227,Don't worry about the Zika Virus this summer! Check out the CoolZone Misting Fan's mosquito repellent function! https://t.co/NXEBTY58mz
228,don't forget 'the gmo mosquitos that create the zika virus'&amp; that Bill Gates is one of the top investors in Monsanto https://t.co/25F5mY9N0c
229,Have you heard of zika virus? https://t.co/HH9StCb6fT  #zika #virus #health #protection #prevention #ZikaVirus https://t.co/YYhovO5vCg
230,Do mosquitos have any useful purpose to the rest of mother nature at all? #zika
231,"Have you heard ,The ZIKA VIRUS in mosquitoes, is even deadlier than Ebola"
232,don't say a word Officials rule out Zika vaccination for 'several years' as 5 cases are co... https://t.co/Ec1iHju3Rh RT #fks #wild#drugs
233,Have you wondered if GM Mosquitos has anything to do with this whole Zika virus pandemic?
234,Have you heard about the #ZikaVirus? Here's a description of the symptoms and where the virus has spread https://t.co/eJLq3l0ycv
235,Don't want the #zika virus? Then don't have unprotected #sex or kiss someone that recently traveled to/from affected areas. It's simple.
236,Don't wait on Congress to protect you from mosquitoes: While waiting for Washington to help fight the Zika vi... https://t.co/jg03W8KY4f
237,Don't put the Zika in your mouth.  Day 173 of #366project https://t.co/llE4onYXEA
238,Have Scientists Discovered a Possible Way to Stop Zika Virus in Its Tracks?: Scientists say they've identified a… https://t.co/ACJf6bEqIm
239,Have Scientists Discovered a Possible Way to Stop Zika Virus in Its Tracks?: Scientists say they've identified a… https://t.co/JYZEv9sX42
240,Don't give Zika a biting chance. Learn how to protect yourself and family at https://t.co/1rekJba0zm. https://t.co/yyKPdcCQ5p
241,Want to eliminate those West Nile &amp; Zika virus carrying mosquitoes from your yard? Put up a bat house! https://t.co/1VkMn4Y5NR #garden
242,"Don't you worry @DaveinTexas , if you are ever laid low by a Zika mosquito and @EmpireOfJeff  doesn't come through! Well, he's in Canada..."
243,Don't let them do aerial spraying for Zika in your community! https://t.co/TJg3upUzrq
244,Don't give #Zika a biting chance!  Protect yourself and your family.  https://t.co/6TfCVFzZWU
245,Don't be a slut. Stay monogamous. Condoms don't fully protect. Oral sex spreads it too. Possibly even saliva. #Zika https://t.co/NSo7BGilIa
246,Don't Fear These Genetically Modified MosquitoesIsn't that how most Japanese horror movies in the 60's began?https://t.co/WDdZQNzNlM
247,DON'T FEAR #GENETICALLY MODIFIED #MOSQUITOES https://t.co/hAGDmTblg9 #ZIKA #VIRUS #wellness CONSTELLATION https://t.co/t8mX5h8DQI #genomics
248,do you think trump will say hillary is patient zero for zika virus or an extraterrestial first?
