,Unnamed: 0,tweets_VBN,Notes,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies,id
20,5471,@WinterbleShow This week my neighborhood was sprayed because of people having it (supposedly). https://t.co/x66PiGDV0p,,1.0,,,1.0,,,,,,,779092308750839808
21,6370,"Protect yourself from mosquito bites: Get rid of standing water, cover up, wear repellent, use intact screens. #Zika https://t.co/vHd1gF2HoW",,,,,,,,,,,,735489246044131332
22,2733,Protected #Nurses protect patients &amp; the public! Basic Info on the #Zika Virus | National Nurses United: https://t.co/Ud8Ips6eul,,,,,,,,,,,,693159004353069057
23,10,Protect yourself from #Zika: Cover up and use insect repellent. Remove standing waters. Use condoms. #WellnessWed… https://t.co/oCYHncIpzd,,,,,,,,,,,,781222065697329152
24,5081,@FrankPallone @pallonefornj Congress leaves for 7 weeks w/o protecting US from Zika,,,,,,,,,,,,759363993219850240
25,4753,Grab the bug spray! Here's where all the Zika-carrying mosquitoes live https://t.co/5KXMfFlyLK https://t.co/EC3C6XZTYu,,,,,,,,,,,,720392391421771776
26,3400,Worried about getting the Zika virus? Here's how you can protect your family https://t.co/bOLMJAgzrn #blogginmamas @mommyinsports,,,,,,,,,,,,760507219427352576
27,888,"Aimed at Zika mosquitoes, spray kills honeybees https://t.co/FovwmOqXxh",,1.0,,,,,,,,1.0,,771541527675842560
28,5061,Covered head to toe in deep wood bug spray. No zika for me. At least I hope not,,1.0,,,,,1.0,,,,,757267156514009088
29,4868,Let's keep working together to protect our community @Cityofdoral #zika #luigiboria #movingdoralforward https://t.co/Zvu4ULBDEn,,,,,,,,,,,,764111671363309568
30,2900,Planned Parenthood is connecting the dots between unprotected sex and Zika: https://t.co/TfG6LYLr4T,,,,,,,,,,,,768919629972385792
31,5829,Put on your bug spray. Read how efforts to pass additional #Zika funding broke down and what it means going forward: https://t.co/jvpFTkj7Ha,,,,,,,,,,,,756488740885835777
32,6575,"Protect yourself from ZIKA, DENGUE, MALARIA, and more with genuine BugsLock® mosquito repellent bracelets. https://t.co/QkoBkHJgij",,,,,,,,,,,,751452317887574020
33,63,Retweeted Singapore Government (@govsingapore):  #Zika update: Free insect repellents for moms-to-be from... https://t.co/xYqkq8WXZZ,,,,,,,,,,,,775873574884126720
34,4702,Call TCLI today to protect your family from mosquitoes! (631) 271-TREE New York Ranks 2nd in Cases of Zika Virus https://t.co/PtQuqmrjku,,,,,,,,,,,,719609711834898433
35,5235,"Retweeted WHO (@WHO):  Dr Chan: Pregnant women can consider delaying travel to #Zika-affected areas, shld protect... https://t.co/Js6hYeT3p9",,,,,,,,,,,,694234275462316032
36,4541,Learn what you can do to protect yourself and others from #zika: https://t.co/LzFJTXebJW https://t.co/laAkda8Tmv,,,,,,,,,,,,761666535953956864
37,3428,Worried about #zika?  #herbs that  #repelmosquitoes  https://t.co/XT6fwZwwXz,,,,,,,,,,,,760607239107403776
38,5186,Protect yourself with my all natural insect repellent! #ZikaVirus #zikastuff2016 #mosquito #malaria #dengue,,,,,,,,,,,,699005649221480448
39,5537,Want to Stop Zika &amp; Dengue? Do this:  4. Keep drains clear 5. Wear long sleeves in outbreaks areas 6. Use certified insect repellents,,,,,,,,,,,,694903072720486400
