,Unnamed: 0,tweets_VBP,Notes,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies,id
46,3341,Reduce your #Zika risk: wear insect repellent &amp; cover exposed skin. Please retweet. https://t.co/EXjQTtfPgw,,,,,,,,,,,,764262767016554496
47,1409,Learn what you can do to protect yourself and others from #zika: https://t.co/8sCPhzmKBW https://t.co/Roi1rS1gEA,,,,,,,,,,,,762710061567381504
48,4267,Get the bug spray out: US short on mosquito traps amid Zika fears: Mosquito trap maker… https://t.co/p21ihYwbQG https://t.co/vOtk7bdnN2,,,,,,,,,,,,736277600100700160
49,4566,Keep the mosquitos off the whole family safely. https://t.co/UUSrpEA42Q #zika #bug #protect #mosquito #family https://t.co/ewfxZ5yfQv,,,,,,,,,,,,735170535202623489
50,2051,Protect yourself from #Zika: Cover up and use insect repellent. Remove standing waters. Use condoms. #StopZika https://t.co/NojbLI5sKi,,,,,,,,,,,,746052503398137860
51,840,Don't blame the Senate for the Zika vote. Miami Beach City Hall is swarming with Zika spray protestors saying they don't want that there.,,1.0,,,,,,,,,,773649850323705856
52,1470,"Don't give into the scam, these products won't protect you from the Zika virus: https://t.co/cow0BLNCqb",,,,,,,,,,,,763050396256497664
53,2272,.Look out #Floridians aerial spraying coming to you.  #Florida   https://t.co/1lZuW0txLJ,,1.0,,,,,,,,,,765599082006077440
54,305,Have you checked your home for areas of standing water? Read these tips and protect your family from the Zika Virus. https://t.co/2GezI388GP,,,,,,,,,,,,750737182541901824
55,1796,Learn how to protect yourself from Zika-carrying mosquitoes. https://t.co/ocXbNgmn8D,,,,,,,,,,,,768875737424199704
56,3726,"@colbybaddour Oh no, not the Zika Virus!  Yes, bug spray is definitely important to have these days.   *ML",,1.0,,,,,,,,,,733660915250417664
57,3804,Do condoms protect against Zika idk man  https://t.co/ie8uYSN6Rl,,1.0,,,,,,,,,,757574112722038784
58,2971,am protecting myself from Zika virus,,1.0,,,,,,,,,,763384120697233409
59,3754,Keep in mind ALL #essentialoils can build up as toxic in ur #Liver #doterra #youngliving #bugs #bugspray #zika https://t.co/rGhMgugDUI,,,,,,,,,,,,792456202252906496
60,967,Learn how to protect yourself from mosquito bites. For more information: https://t.co/lzbSxTvJ2H  #ReadyPANYNJ #Zika https://t.co/pR0hIG4wiA,,,,,,,,,,,,730382494227386369
61,3703,Don't fear the Zika ...arm yourself with the best spray on Market...organic and natural. ..guaranteed results https://t.co/ZpjDW2IVhW,,,,,,,,,,,,699244721856737281
62,4332,"Consider researching lemon eucalyptus oil, I believe it's the only natural repellent. #zika https://t.co/TM627er2Pq",,,,,,,,,,,,786367759785553921
63,852,Don't believe the hype about Zika virus...it's been around for decades. DEET spraying is deadly: https://t.co/rjGAYYeYCW,,,,,,,,,,,,774977827548594176
64,763,Please do your part to protect our community from #westnilevirus. Dump standing water wherever you see it. #WNV… https://t.co/3cnB168fGS,,,,,,,,,,,,791392845852581889
65,530,"Spread the word. When used as directed, insect repellent is the best way to protect yourself from mosquito bites. #Zika",,,,,,,,,,,,773147540145500160
66,1969,Read these tips to protect yourself from the Zika virus if you are traveling:https://t.co/5Ce8rNp8hf,,,,,,,,,,,,708303683524558848
67,3014,Learn how to avoid the zika virus with this homemade essential oil bug spray in this blog post! https://t.co/93onoSaEqV,,,,,,,,,,,,748290208370663425
68,1222,"Protect yourself from viruses, like the Zika virus, by adding bug spray to your AM routine. https://t.co/JWUGJ9IRba https://t.co/ojoAkXoB0R",,,,,,,,,,,,747509542695604224
69,3779,Take some simple steps 2 protect yourself from the #Zika virus. https://t.co/vFMhCrC557 @CII_Updates @LongBeachDHHS https://t.co/wb20SydYIX,,,,,,,,,,,,755404261110841344
70,31,Get the real scoop on #zika and what action you can take to protect yourself and others: https://t.co/fFY2wrE7sX,,,,,,,,,,,,752348815491866624
71,139,Let's not forget #Ebola’s devastating effect on #MaternalHealth. Now we must protect women &amp; girls from #ZikaVirus with #familyplanning.,,1.0,,,,,,,,,,701305558066921472
