,tweets_VB
3138,Protect yourself and your family from mosquito-borne diseases like #Zika. Dump standing water left by recent storms: https://t.co/h7oLs5rR1D
1901,Check out #FIT Organic 6.76 oz. Mosquito Repellent from @cleanwithfit: https://t.co/uAMV9XTnSq #Zika
2278,Protect yourself from Zika virus when traveling to certain countries. https://t.co/zG3MucEucF
2716,Protect yourself from #Zika carrying #mosquitoes when travelling to THE TROPICS https://t.co/JwAcC0R0lb
3643,"Look Out, Mosquitoes: Reggae Tune Urges Jamaicans To Fight Zika Virus: https://t.co/duCyf6778D https://t.co/LIQZKKtsqf"
2861,Watch out for these bogus Zika protection claims: https://t.co/sVbQkf3Tj1
163,Want a good read on the GMO mosquitoes potentially coming to an area in the Keys? #Zika @FiveThirtyEight's got you:… https://t.co/4SZdYVU3iS
338,Read how @Oxitec Genetically Modified Mosquitos will be forced into your neighborhood. #GM #GMO #HOAX #ZIKA  https://t.co/5bmKrQapp2
353,check out the PartTimeWifeAz blog about mosquito control! https://t.co/d5DRVenbsJ via @weebly
1718,Let's be really clear here.  There are no studies whatsoever that suggest or prove that GM Mosquitoes fight Zika... https://t.co/e2c30u3yB9
150,Use the $ to bring back DDT...it will wipe out the zika carrying mosquitoes immediately https://t.co/wjWCYUCLyt
3429,Save the mosquitoes! Save the #Zika virus! https://t.co/gPbxbV61w0
1628,Keep in mind ALL #essentialoils can build up as toxic in ur #Liver #doterra #youngliving #bugs #bugspray #zika https://t.co/aYyEH3Gmwd
3651,"Look Out, Mosquitoes: Reggae Tune Urges Jamaicans To Fight Zika Virus: https://t.co/eU4Qb8sgJU https://t.co/H971rHiqe2"
143,Watch the spread of Zika in the Americas in one terrifying GIF https://t.co/KG9C1yu71O via @BI_Science
130,"Tell the FDA what you fear more: Zika, or GMO mosquitoes? - https://t.co/3eMcj2Cq5t"
771,Check out the Latest from The Mosquito Defense Store New Zika Case In Florida - https://t.co/Uq442hOQyl
1021,@KatieLaGrone Love to talk w/you about community mosquito education! #Zika   #microcephaly dtouwsma@mosquitonix.com  https://t.co/X3wH4nayrH
1984,@TheTodayShow let's talk about the areas in #Miami being heavily sprayed with toxic cancer causing chemicals impacting everyone. #zika
3625,Check out Mercola's article snd 77 references on a new view of Zika? GM mosquitos a potential for Zika virus? https://t.co/8kaef8EVPm
72,See All the Places Where the #Zika Virus Has Spread https://t.co/riToDIiwtA  Can be spread other ways  #mosquitoes
2148,@NewsHour @JudyWoodruff mabye the zika mosquitos will get sick from all the septic tank contents floating around in that water.
2655,Check out this Amazon deal: Mosquito Repellent Bracelet by Neor - Zika Vi... by NEOR https://t.co/YLGPCbRjxx via @amazon
4204,@StacyCornwall These imported cases of #Zika might result in local spread of the virus in some areas of the US.
2458,Protect yourself from Zika virus this summer! https://t.co/8USAxapDjE
3104,Get your skin so soft now to combat those pesky mosquitos #ZikaVirus  https://t.co/0vI6a2LDLd
2224,Know your ZIKA facts! To learn how to protect your family go to: https://t.co/8cOY1CVxFN #zika #maritime #seafarers https://t.co/Y7xDqtQOCb
3454,skeet the friccin cool mosquito dude says that the Zika virus is whack yo https://t.co/g5QHiT8cnY
2482,"see if someone has zika and a mosquito bites them, that mosquito then has zika .. and it multiplies"
2661,“a mother with the #Zikavirus gave birth to a baby with #microcephaly.… Officials say the mother contracted the... https://t.co/mt06PoKUOZ
394,Save the Bees. Zika spraying kills millions of honeybees @CNN https://t.co/2UcQvRN7Ho
3668,"Protect yourself from mosquito bites if you’re travelling to an area w/ #ZikaVirus, https://t.co/4Vd5OYv5uW @CDCofBC #HealthLinkBC"
1383,Track the spread of Zidane in Florida from wherever you are - Daily Florida Zika virus tracker https://t.co/ZsEUFcVpLv
696,see the steroids sweat out in VR  oh is that a zika mosquito? https://t.co/TliC1W6jb5
2391,think zika explains some of 'ancient carvings' --- actually warnings about those mosquitos in that area
1433,Consider: Florida defunds Planned Parenthood just before #Zika hits. Ideology + infectious disease = recipe for health crisis. @PPFA
832,"Blame the Zika virus on climate change, experts say https://t.co/fOfduY41Oj"
1094,"Expect More US Zika Virus Cases, Experts Say - https://t.co/wQp0bzpWKs https://t.co/KpWhPpwJje"
159,Read the full articleConcerned that mosquitoes are spreading Zika throughout Miami-Dade County — and not just... https://t.co/sYgBHbKC7n
1395,See where the Zika virus has spread in the Western Hemisphere... https://t.co/SGII8gcBiA #zikavirus
3639,"Look Out, Mosquitoes: Reggae Tune Urges Jamaicans To Fight Zika Virus https://t.co/gN4wiB4m2k #ZikaVirus"
1531,Do ALL mosquitos carry Zika? Half of adults believe ALL mosquitos can carry killer disease: FEARS around the ... https://t.co/SoNAOWRFKE
582,"Tell the FDA What You Fear More: Zika, or GMO Mosquitoes? - ABC News - https://t.co/DPz4MH7UAH via @ABC"
1346,Check out these tips to enjoy your #outdoorlifestyle bite free! #MosquitoNix #Zika #WestNile https://t.co/mcsutiREFv https://t.co/zYuxTs6Swh
1239,Protect your family this summer by calling #HomeShieldXP #ZikaVirus  #NotOnOurWatch  https://t.co/fWI9TjL4c0
3140,"Look fwd to catching up on this, but it's odd that the news headline today is #zika = 'scary', not, say, 'dangerous' https://t.co/TaNtYk8XAt"
396,Prevent a Zika virus' mosquito bite with these steps:  1. Apply mosquito repellent with one of the following... https://t.co/MD6qBYvdVl
