,tweets_VBZ
847,Is #Zika #Spread by a #Sneeze? Many Americans say ... https://t.co/f7RakvE5dE https://t.co/gJGHYvb3Jm
181,"isn't zika virus contagious through blood, mosquito bites and sexual intercourse rip."
753,Is the #ZikaVirus in #Brazil spread by #GMOMosquito 's funded by #BillGates ? #GMO #war https://t.co/ZjwwdWllx3 https://t.co/blEznhE0ls
697,Is Zika Outbreak Blowback From the Release of GM Mosquitoes? “Nature Finds A Way” https://t.co/XGbxoOskWY
1141,Is a genetically modified mosquito bred &amp; released to combat #Dengue fever playing a part in the #ZikaVirus pandemic? Yes. Say no to #GMO.
67,Is El Nino helping to spread Zika?: El Nino is bringing wetter and warmer-than-normal weather to much of Central… https://t.co/SU3nt3ANUR
738,Is the #Zika Spraying in #Miami Safe? https://t.co/fExRNvACG6  #HealthNews https://t.co/mzLxXntx92
921,Is this opening ceremony supposed to represent Zika mosquitos
249,Is the Zika virus (transmitted by mosquitoes) to blame for Brazil's dramatic uptick in brain damaged babies? - https://t.co/krOszPV93E
38,Is it #Crazy to speculate that a chemical company like DuPont (mosquito spray) could have paid congress to not pass the funding4 Zika bill?
701,Is Zika Virus In Aruba? Travelers Should Pack Mosquito Repellant &amp; Practice Safer Sex - Romper https://t.co/C9OmCNZpZE - Google News
518,Is El Nino helping to spread Zika? https://t.co/m7PbLMQDfI
1026,Is there US #zika beyond Florida mosquitos? https://t.co/xvwJCL54je
724,IS THE ZIKA VIRUS IN BRAZIL BEING SPREAD BY GENETICALLY MODIFIED MOSQUITOES FUNDED BY BILL GATES? | THE UNHIVED  https://t.co/Ge8gSB9OVI
34,Is It Time to Cancel the #Rio #Olympics? Health Experts Say #Zika Risk Is Too High https://t.co/NA9J0KyGxK via @YahooFinance
126,Does your holiday insurance protect you against the Zika virus ?
341,Is #Texas ready for #Zika? Let Medicaid cover repellant! Groups ask @TexasHHSC to boost preventive measures #txlege https://t.co/e9vf0n65Jp
688,"Does this foo know that the Zika virus is not in the air, it is contracted by a mosquito bite😂! #ONLYSAIA HOIIIIII!! https://t.co/cP6JerBoYO"
886,Is insecticide sprayed to fight Zika a risk for people and wildlife? #Miami https://t.co/jaqcpjklh4
572,"Is the Gulf Coast ready to combat mosquitoes, Zika?.. Related Articles: https://t.co/lyXpc1hdt3"
939,Is The Risk Of Catching Zika Greater In Poor Neighborhoods? https://t.co/jl56yzBSXm Protection costs $$
554,IS THE ZIKA VIRUS IN BRAZIL BEING SPREAD BY GENETICALLY MODIFIED MOSQUITOES FUNDED BY GATES? https://t.co/WK7FN0w84s
657,Is replaced by Zika-laden mosquito resulting in an improvement in the polls. https://t.co/Ke3WCFaMyb
1091,Is it #Zika or Pesticide-based Birth Defects (or GM-mosquitoes or vaccines)? https://t.co/2fs1KgaGTk now Brazil #1 in pesticide use in world
618,IS THE ZIKA VIRUS IN BRAZIL BEING SPREAD BY GENETICALLY MODIFIED MOSQUITOES FUNDED BY @BILLGATES? https://t.co/lOCM7cgwqM
1084,Is There A Spot Where God Is Not? https://t.co/4SWczC4a5S @CSinTennessee @chattanoogancom #ZikaVirus #protection
676,Is mosquito-borne #zika a threat to Australia? https://t.co/UjOSKbkkN9 via @ConversationEDU @ConversationUK @ConversationUS
613,Is this the Secret to Keeping Zika Mosquitoes Away?: The key to keeping Zika mosquitoes at bay has emerged ju... https://t.co/KeTtQSUg94
562,Is zika virus spreading? Millions of mosquitos swarm car in frightening clip #TODAY https://t.co/HEqKJAZE6K https://t.co/9TeO1aZaYV
813,Is anyone else freaked out about the aerial spraying in #Miami for #Zika and what the after effects are going to be? #populationcontrol
100,Is #Zika's spread in Singapore a warning of what lies ahead for Asia &amp; Africa? Experts can only theorize. https://t.co/phbh9K4i0c
1241,Does the spread of the Zika virus have you rethinking your travel plans? The World Health Organization has... https://t.co/1SWzWe0dmQ
171,Is it right to launch mass chemical warfare on #Zika #mosquitoes? | Patrick Barkham https://t.co/nPmjZ8liZf
733,Is your store the go-to place for #mosquito control? https://t.co/cczFaa0ZB9 #ZikaVirus
483,Is Spraying for Zika A Health Risk? https://t.co/83tIr4cz6I
407,Is El Nino helping to spread Zika? https://t.co/FcTxTJdNNY
629,Is Lafayette prepared to combat the possible spread of the Zika virus? https://t.co/jyCFUOyH8x https://t.co/mN5TWAcwQa
324,"Is mosquito-borne Zika virus linked to microcephaly in newborns? Seems so, looking at epidemic in Brazil https://t.co/vY9Rz7UCqQ via qz"
380,Is a perfect storm of Zika virus conditions coming to the Gulf Coast? #WhereIsTed #HoustonFloods #TedsKatrina https://t.co/apVUu32Q9F
815,Is #Zika coming to your area? Or are you more concerned @ #Westnile? Prevent #mosquito borne illness! https://t.co/XEjTMVXojQ
