,tweets_VBN
2079,Retweeted Science News (@ScienceNews):  Three vaccines offer complete protection against #Zika virus in monkeys.... https://t.co/pZzSwurNei
2541,Retweeted WebMD (@WebMD):  Genetically Modified Mosquitoes to Fight Zika? https://t.co/qFpDOmnD6V https://t.co/XL8DQ6MMte
887,"Aimed at Zika Mosquitoes, Spray Kills Millions of Honeybees https://t.co/gFPeEVhnUb #APBio @SueSpeirs_RT"
2105,Worried? The FDA just greenlit releasing mutant Zika-killing mosquitos in Florida https://t.co/xt29KuYnfn via @TheRealFuture
429,"Retweeted GIS and Science (@GISandScience):  Yes, Zika will soon spread in the United States. But it won’t be a... https://t.co/T2dZm4qWzQ"
86,"Irradiated mosquitoes to help zap Zika’s power https://t.co/njZ3YozXNL | etribune, Opinion"
1127,Confirmed: Four infected by mosquitoes outside 'Zika zone'
1619,scared for these mosquitos though #zika
2587,"Lol at by the lake... All them mosquitoes, snakes, and Zika"
241,Trapped Florida mosquitoes found to contain Zika virus Read Full : https://t.co/TKt01rsVNU https://t.co/lppLC2oBLC
1790,Protected: Interactive: watch the Zika outbreak spread among the 50 states - https://t.co/0yC0hDx3Of...
2075,"Wired: A California City Is Fending Off Zika by Releasing 40,000 Mosquitoes Every Week https://t.co/NcsNrGQJVW #Sc… https://t.co/Tbe23Ws9oU"
1971,Planned Parenthood Capitalizes on Zika Tragedy to Promote Abortion in Latin America https://t.co/LywCcndDBe https://t.co/iqD88z9VkU
2379,Planned Parenthood Capitalizes on #Zika Tragedy to Promote #Abortion in Latin America: https://t.co/euBgprp2MQ … https://t.co/ND2Uzx8lG5
828,Infected mosquitoes to be released in Brazil and Columbia to battle Zika https://t.co/WZacb3tj9u
1726,"'Spread by mosquitoes whose range inexorably expands as the climate warms, Zika causes mild flu-like symptoms.... https://t.co/rn4BtvmC4m"
1403,Explained: What is Zika virus and how does it spread?
803,Surprised that they reached any deal. Happy for some additional funding to understand #zika and perhaps #mosquitoes https://t.co/BaJ0fA348N
2576,'Worried' #Olympic organizers say Zika problem to decline https://t.co/OSGBlD1CTN
2001,Focused On Zika: Preparing for the #Summer spread - Apr 4 @ 11:49 AM ET  https://t.co/HaLI7fqswW
413,"Aimed at Zika Mosquitoes, Spray Kills Millions of Honeybees https://t.co/kGoVgnEJrv https://t.co/wGAry7YzaE"
2862,trapped a mosquito in the microwave.  turned it on.  it survived.  im definitely going to die here. or get zika.
587,"Aimed at Zika Mosquitoes, Spray Kills Millions of Honeybees https://t.co/YM6HHpWEYw"
1405,Created to kill other mosquitoes. Achieved by a self limiting gene preventing the offspring from surviving... #ZikaVirus  #ox513a
1510,Exposed! Florida Gov. Scott's Undisclosed Interest In 'Zika' Mosquito Co... https://t.co/a1PqMuVELw @realalexjones @markdice @eddiebravo
1107,Projected spread of Zika virus in the Americas https://t.co/2GKzU7I5vi
865,"Aimed at Zika Mosquitoes, Spray Kills Millions of Honeybees https://t.co/zSNfSIfidn"
1287,Disorganised #mosquito control means the #UnitedStates is vulnerable to the #Zika #virus.  https://t.co/4lgjE1mSmj  https://t.co/YRMWrxwRQl
1319,"Worried about Zika, West Nile? Expert advice to prevent mosquito bites https://t.co/JI41bUOiKC"
734,Posted from #HealthNow - 3 #Zika Carrying Mosquitoes Found in Florida. https://t.co/c1cPSAbF9M
2694,Retweeted CNN-IBN News (@ibnlive):  Zika virus may hide in organs protected from the immune system: reports via... https://t.co/G6zTHbtzHT
1324,Fucked up and out of control #zika #Florida Spraying Residents with Neurotoxic Pesticide https://t.co/dx3qPpg2I0
2834,'Impoverished areas in the U.S. are prime breeding grounds for mosquitoes' states @PeterHotez  https://t.co/0NlVXwaczC #Zika #Nightline
1502,Retweeted CDC (@CDCgov):  Mosquitoes that spread #Zika are aggressive biters. Protect yourself by using an... https://t.co/L3aG8tUjeS
572,"Aimed at Zika Mosquitoes, Spray Kills Millions of Honeybees https://t.co/OHSgV85hXv"
254,Trapped Florida mosquitoes found to contain Zika virus https://t.co/BG3sF4pA72 #milpitas95035
1683,Wired Blogs: Oh Good: Congress Can’t Even Agree to Protect the US From Zika https://t.co/1ISErZbsM2
349,Worried about aerial spraying? Learn more about efforts to protect pregnant women from #Zika  https://t.co/vrtPyDWOer
2493,"Watched news on Aljazeera America on Zika Virus, in El Salvador found small fish that eats the mosquito larvae, stops spread it's working"
1370,"Bugged by Zika spraying? County program may be able to help: On high alert due to the Zika virus, South Florida… https://t.co/vdCLG4Blj3"
1631,"Worried about Zika? (And no, it's not just bad for pregnant women). Here's what Gardens is doing to stop the spread: https://t.co/yK1q4CbDBc"
2741,"Expanded Zika zone, aerial spraying causes concerns for Miami...: MIAMI BEACH, Fla. - The latest round of aer... https://t.co/3ugf58z3qd"
250,Trapped Florida mosquitoes found to contain Zika virus https://t.co/GvRKbE3Q7o
1746,Retweeted Save the Children US (@SavetheChildren):  The best bug sprays for #Zika virus protection and how to... https://t.co/tQ1tlupRVV
2501,Delighted to say Ghana is not in the list of countries with active Zika virus transmission https://t.co/XevOFSCFmc https://t.co/iOXPSnEuRE
2643,"Preferred options to watching the GOP convention: food poisoning,a million zika mosquitos in the house, trapped in an elevator w/ Rachel Ray"
285,"Aimed at Zika mosquitoes, spray kills millions of honeybees https://t.co/3Ci86sTupx"
2059,Worried about mosquitoes and Zika? UF/IFAS expert offers 5 tips for reducing mosquitoes around you home: https://t.co/ox7G8xxQPi
1886,Retweeted CNN (@CNN):  WHO anticipates that the Zika virus will spread to all but two countries in the Americas... https://t.co/FT33NF047f
2852,"Retweeted SMCMVCD (@SMCMVCD):  While Zika virus was dominating the news, another mosquito-borne disease has led... https://t.co/ykZRm7Mzdn"
694,"Aimed at Zika Mosquitoes, Spray Kills Millions of Honeybees https://t.co/qq8A3PHHKr"
2818,Retweeted WSB-TV (@wsbtv):  City councilwoman proposes plan to cut down on potential spread of Zika virus:... https://t.co/3gpJ6AslRh
447,Irradiated mosquitoes to help zap Zika's power https://t.co/PMbuRCsqfU
13,"Worried about Zika, West Nile? Expert advice to prevent mosquito bites https://t.co/N0Vo12FdUj"
1677,Retweeted Igor Morr (@igormorr):  Zika virus – All BMJ resources are freely available | The BMJ un up date... https://t.co/27JE3DBUCq
1449,Retweeted Miami Herald (@MiamiHerald):  Miami Beach workers sweep city for Zika mosquito breeding grounds... https://t.co/9ExzVYCV5h
2689,Concerned about Zika virus this summer? Call 877-DEAD-BUG! https://t.co/wewTC7oQ82 #mosquitoes #Indiana #Kentucky
1518,Retweeted The Atlantic (@TheAtlantic):  Mosquitoes can pass Zika to their offspring https://t.co/3ODihkhzz9... https://t.co/Ts9VLNGktd
179,"'Aimed at Zika Mosquitoes, Spray Kills Millions of Honeybees' by ALAN BLINDER via NYT https://t.co/xXUxnP6crz https://t.co/Tq7Zuy8RHu"
1900,"Related News: Zika virus outbreak will likely spread across Americas, WHO says -The Washington Post- https://t.co/oHH3mEJD3c"
1199,Worried About Zika? These 12 Plants Naturally Repel Mosquitos    https://t.co/rGPoZwvNsz
1479,Imported Zika case reported: The Centre for Health Protection is investigating the first imported case of Zika… https://t.co/RytLcg8QCN
2703,Retweeted World Economic Forum (@wef):  #BestOf: The “explosive” spread of the #Zika virus... https://t.co/eRaxCKaZOS
1507,Explained: How Zika could spread through Texas https://t.co/3xRdx5MlMG
440,Worried about the #Zikavirus? Use these tips to help reduce mosquito populations #TulanePublicHealth101 https://t.co/rJ7C2gf3CJ
2009,Retweeted Wall Street Journal (@WSJ):  Zika virus mosquitoes may spread farther north than thought... https://t.co/Q8rxDfCeYE
2230,"Retweeted WHO (@WHO):  Q: What is #Zika? A: Zika is a virus spread to humans by Aedes mosquitoes, the same... https://t.co/hrjcgHYJsN"
818,Shared via BBC: Mosquito army released in Zika fight in Brazil &amp;amp; Colombia
1521,Planned Parenthood going door-to-door in Miami to promote abortion over #Zika fears #prolife https://t.co/sySrm2JxTh
2068,Retweeted CMSRI (@CMSRIResearch):  Florida to Spray Residents Like Bugs over Zika — with Chemical that Ironically... https://t.co/K8baf2gWGi
2581,Increased spraying as Zika virus mosquito detected at Sydney airport https://t.co/1SYalCYMZ0 via @MailOnline
1999,Worried about Zika? Don't freaka. WBR mosquito control expert says the biggest concern now is misinformation: https://t.co/afbOoliNYR
2380,"Hosted by MFrazz: Despite Zika Outbreak, Catholic Leaders Say Contraceptives Are ‘Not A Solution’: When Colomb... https://t.co/GiwR2KlUZ8"
2329,Retweeted CDC Emergency (@CDCemergency):  DYK? The mosquitoes that spread #Zika are aggressive daytime biters.... https://t.co/5T3WIrEgOV
1512,Integrated Mosquito Management ( Zika Virus)   Integrated Mos https://t.co/XKiz4PBtNg
1253,Exposed! Florida Gov. Scott's Undisclosed Interest In 'Zika' Mosquito Control Company https://t.co/6BARNyEenB
663,"Aimed at Zika Mosquitoes, Spray Kills Millions of Honeybees https://t.co/XdC1mHspvo"
