,tweets_VB
645,"Tell the FDA what you fear more: Zika, or GMO mosquitoes? https://t.co/OHrnMnaECg https://t.co/kCHTqei4gE"
2786,"Do your job, bats! The runners are counting on you. Just Say No to mosquitoes and zika. @ Red… https://t.co/mFV8thpngq"
523,"Tell the FDA what you #fear more: Zika, #or GMO mosquitoes - May 12 @ 11:35 AM ET  https://t.co/LOSKoKPqLt"
1990,Protect your family from #Zika virus. Use these tips to prevent mosquito breeding &amp; bites! https://t.co/0APR0sANfD
2032,"@nvrralone Or, saying Zika virus, not admitting it's spread by mosquitos."
2353,Wonder if it has Zika virus? Big ass #mosquito or maybe #mosquitohawk https://t.co/7jcuTaZ8BP
3429,"Look Out, Mosquitoes: Reggae Tune Urges Jamaicans To Fight Zika Virus: https://t.co/AnNQeVY1Hb https://t.co/6LJFdgldnq"
1881,Put all republicans with the Zika mosquitos. https://t.co/TbdqIF1YHJ
2450,Could it be possible the Zika virus is a result of releasing genetically modified Mosquitos into the wild?
3542,Wonder Why? #Miami Herald sues county to open #mosquito-trap records | #Miami Herald #Zika #FL #NYC #NJ #NC #SC #CA https://t.co/R1YIPAvwol
3331,stay away from negative people....and mosquitos #zika
912,Be sure to #DrainAndCover to protect from mosquitos and #Zika! #District13 #OurCounty https://t.co/MCoxnq1DJU
39,Protect yourself against Zika virus while travelling. https://t.co/Go2vXmetHp
2977,Check out the @ewg Guide to Bug Repellents in the Age of Zika &gt; https://t.co/YHYGO6dAGd #FightTheBite https://t.co/C3sS0PRNUB
1806,Protect yourself from #mosquitoes to help prevent #Zika. Look around your property &amp; dump any standing water. https://t.co/MW4jKt9PNt
3918,Do mosquitos with Zika out weigh Rachel Carson &amp; Silent Spring Paranoia of DDT  in the US? Discuss...
3244,"Learn how to prevent mosquito-borne diseases, including Zika. @CDCgov Grand Rounds webcast today, 1 pm ET: https://t.co/zvDL9suVtN"
1819,Learn what you can do to protect yourself &amp; your family from the #Zika virus. Town hall on 6/29 #FightTheBite #MoCo https://t.co/iN51cjG4I0
1544,@GottliebShow Maybe it's because she was insensitive to the Zika mosquitos
2790,Call us to have your property sprayed for #mosquitoes. #mosquitocontrol #zika https://t.co/lADFcH7lXo
3919,"Protect yourself from #Zika BuggSpray #InsectRepellent for Flies, #Mosquitoes, and Ticks 4 fl oz. U... https://t.co/wT5GwXCtOu via @amazon"
285,SEE IT: Rep. frustrated by Zika brings jar of mosquitos to House https://t.co/5HEBAV3pXw
3381,"Protect yourself from ZikV folks.  Ayurveda tidbit: If they haven't cut them down, there are… https://t.co/XtBKk2hPVz"
2075,Check out this beautifully written @lisagartner story on the battle over GMO mosquitoes in the Conch Republic: https://t.co/PmZhn3YwWc
3374,"Grab your bug spray, #Miami. @FLGovScott declares emergency in Dade County over #ZikaVirus https://t.co/acwj4AYZBI https://t.co/skgE9Ns9XW"
2301,Have a bite-free summer! #prevention #ZikaVirus #mosquitoes #healthandwellness https://t.co/yI7UREmRJP
1009,See which sections of eastern Queens will be sprayed against the Zika threat tonight – https://t.co/LywzvUDjKb https://t.co/4qXKEkmXNw
2771,Support the Oxitec mosquito to #stopthemosquito that carries the #Zika virus: https://t.co/7IcBGUCkBY
651,Check out this map that shows where the Aedes mosquitoes are found in #Maricopa County. #ZikaVirus https://t.co/qXWVQuOqSA
2079,Cover up? Zika Mosquitoes Same as GM Mosquitoes Released off Florida Coast - https://t.co/EQXi5UoQVv https://t.co/WfCGPUEpxc
2945,Leave it to the Brits to wear shorts in  #OpeningCeremony guess they aren't worried about Zika-hate to tell them mosquitos aren't midgees!
3906,"Protect yourself from dengue, chikungunya and #Zika by eliminating the places that can attract mosquitoes.  https://t.co/dSCK5l2lah"
3581,Let's all repeat the mantra: 'Finding Zika inside the mosquito does not prove the mosquito can transmit Zika'. https://t.co/hJIAIfYPPY
2331,Protect yourself from Zika virus this summer! https://t.co/8USAxapDjE
