Unnamed: 0,tweets,Notes,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies
4744,Retweeted CDCChronic (@CDCChronic):  Living/ traveling to an area w/ #Zika? Remember insect repellents shouldn’t... https://t.co/Wz5FpApp0k,,,,,,,,,,,
3721,Worried about Zika? Bug spray companies &amp; scammers are counting on it. By @LindaJ_onPharma. https://t.co/vIvzkO4Ohm https://t.co/LXy3U2TPt1,,,,,,,,,,,
2423,Love hearing this! This is one oil I'm using to help prevent any mosquitos! #bugspray #zika #EssentialOils #doterra https://t.co/5UgbIwdq6j,,,,,,,,,,,
3635,Retweeted Regina C. Ortiz (@regcoral):  Florida to begin aerial spraying of insecticides to control Zika... https://t.co/HRwsdJrX3d,,,,,,,,,,,
3219,Learn how to protect yourself from #Zika this summer → https://t.co/uo4R7P4Y0S https://t.co/u55rnWIrRO,,,,,,,,,,,
4570,"Please visit our Facebook page for information on, and protective measures against the Zika virus.",,,,,,,,,,,
5471,@WinterbleShow This week my neighborhood was sprayed because of people having it (supposedly). https://t.co/x66PiGDV0p,,1,,,1,,,,,,
6370,"Protect yourself from mosquito bites: Get rid of standing water, cover up, wear repellent, use intact screens. #Zika https://t.co/vHd1gF2HoW",,,,,,,,,,,
2733,Protected #Nurses protect patients &amp; the public! Basic Info on the #Zika Virus | National Nurses United: https://t.co/Ud8Ips6eul,,,,,,,,,,,
10,Protect yourself from #Zika: Cover up and use insect repellent. Remove standing waters. Use condoms. #WellnessWed… https://t.co/oCYHncIpzd,,,,,,,,,,,
5081,@FrankPallone @pallonefornj Congress leaves for 7 weeks w/o protecting US from Zika,,,,,,,,,,,
4753,Grab the bug spray! Here's where all the Zika-carrying mosquitoes live https://t.co/5KXMfFlyLK https://t.co/EC3C6XZTYu,,,,,,,,,,,
3400,Worried about getting the Zika virus? Here's how you can protect your family https://t.co/bOLMJAgzrn #blogginmamas @mommyinsports,,,,,,,,,,,
888,"Aimed at Zika mosquitoes, spray kills honeybees https://t.co/FovwmOqXxh",,1,,,,,,,,1,
5061,Covered head to toe in deep wood bug spray. No zika for me. At least I hope not,,1,,,,,1,,,,
4868,Let's keep working together to protect our community @Cityofdoral #zika #luigiboria #movingdoralforward https://t.co/Zvu4ULBDEn,,,,,,,,,,,
2900,Planned Parenthood is connecting the dots between unprotected sex and Zika: https://t.co/TfG6LYLr4T,,,,,,,,,,,
5829,Put on your bug spray. Read how efforts to pass additional #Zika funding broke down and what it means going forward: https://t.co/jvpFTkj7Ha,,,,,,,,,,,
6575,"Protect yourself from ZIKA, DENGUE, MALARIA, and more with genuine BugsLock® mosquito repellent bracelets. https://t.co/QkoBkHJgij",,,,,,,,,,,
63,Retweeted Singapore Government (@govsingapore):  #Zika update: Free insect repellents for moms-to-be from... https://t.co/xYqkq8WXZZ,,,,,,,,,,,
4702,Call TCLI today to protect your family from mosquitoes! (631) 271-TREE New York Ranks 2nd in Cases of Zika Virus https://t.co/PtQuqmrjku,,,,,,,,,,,
5235,"Retweeted WHO (@WHO):  Dr Chan: Pregnant women can consider delaying travel to #Zika-affected areas, shld protect... https://t.co/Js6hYeT3p9",,,,,,,,,,,
4541,Learn what you can do to protect yourself and others from #zika: https://t.co/LzFJTXebJW https://t.co/laAkda8Tmv,,,,,,,,,,,
3428,Worried about #zika?  #herbs that  #repelmosquitoes  https://t.co/XT6fwZwwXz,,,,,,,,,,,
5186,Protect yourself with my all natural insect repellent! #ZikaVirus #zikastuff2016 #mosquito #malaria #dengue,,,,,,,,,,,
5537,Want to Stop Zika &amp; Dengue? Do this:  4. Keep drains clear 5. Wear long sleeves in outbreaks areas 6. Use certified insect repellents,,,,,,,,,,,
