Unnamed: 0,tweets,Notes,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies
7974,Mapping city hotspots for Zika mosquito: 'Never will bite' soap among winning ideas at Johns Hopkins Hackathon  https://t.co/TEKbC94sLy,,,,,,,,,,,
6173,Stopping Zika: Attacking mosquitoes from within A bacteria called Wolbachia that lives inside many insects may be … https://t.co/gATxj1wgcM,,,,,,,,,,,
1926,Protect yourself against Zika Virus with natural repellent ideas https://t.co/2AXMdlZeWz #MUIPR #MUIDailynews,,,,,,,,,,,
10558,Fighting Zika in the US: The Battle Over GMO Mosquitoes - ABC News - https://t.co/p3EUoplsjJ via @ABC,,,,,,,,,,,
9288,Probing A Mosquito Protein For Clues In The Fight Against Zika https://t.co/hRpvjJ9ntr,,,,,,,,,,,
9554,Protecting women and children in Zika-affected countries https://t.co/4ax66DKohX,,,,,,,,,,,
4436,Paranoid about this one very sly #mosquito guy flying around in my room and biting me in my sleep. #Zika #bugproblems #hebitme #die,,1,1,,,,,,,,
10487,Working under the threat of Zika:How construction firms can protect employees from the virus https://t.co/KrshPkmvAc https://t.co/CGxbOgIdRT,,,,,,,,,,,
2192,Spraying for #Zika continues in #Broward and #Miami-Dade – WSVN 7News | #Miami #News https://t.co/c9ZIQYeXSr,,,,,,,,,,,
7375,"Spraying by air for mosquitoes, Florida steps up Zika fight: DORAL, Fla. (Reuters) - Florida began aerial spr... https://t.co/xfQIbpLkF3",,,,,,,,,,,
2063,"Tell the FDA what you fear more: Zika, or GMO mosquitoes? - Wink News https://t.co/969YMQZqLL",,,,,,,,,,,
9524,Protect your family from Zika Virus with ecol friendly products found only in Galleon.ph @galleonph https://t.co/hEhY4jo8to,,,,,,,,,,,
10564,"Fighting Zika in the US: The Battle Over GMO Mosquitoes,we already have  genetically modified organisms called congress",,,,,,,,,,,
2108,Eradicating mosquitos entirely as a species? Not everyone thinks this is a sound strategy by @lynnepeeps @undarkmag  https://t.co/vV6sJb02zQ,,,,,,,,,,,
2986,Breaking: #Zika: 4 cases in #southflorida likely transmitted by mosquitoes....according to Gov. @WPBF25News https://t.co/xnxOO7ng3h,,,,,,,,,,,
1391,Please RT? #travel #traveller Travel in the Time of Zika: How to Avoid Mosquitos on the R https://t.co/fr4KGX4amy https://t.co/crQN5N4AAW,,,,,,,,,,,
8146,Spraying and poisoning the citizens of The United States because of the 'Zika' scare.  What a crock of... https://t.co/rMmJFs7OJR,,,,,,,,,,,
1189,Controlling Zika mosquitoes may be 'lost cause' via @neutralnews #YourNewsTweet https://t.co/xyuV3eF3QE' https://t.co/bP0RBmV75P,,,,,,,,,,,
11179,"Controlling zika: zap bugs with radiation: The fight against the Aedes aegypti mosquito, carrier of the Zika, ... https://t.co/31nqvACSjS",,,,,,,,,,,
9493,Ending Zika will require a relentless assault on mosquitoes. https://t.co/upyrCfzecU via @BV,,,,,,,,,,,
1188,Controlling Zika mosquitoes may be 'lost cause': Standard tools for killing mosquitoes don't work against the… https://t.co/YSTdKt2w60,,,,,,,,,,,
4329,Prevent the spread of #Zika by preventing mosquito bites. Get @MilitaryHealth resources to protect yourself: https://t.co/nE7PnfRFxz,,,,,,,,,,,
6988,Breaking: Study finds that #Fresno is among 50 U.S. cities where #Zika-carrying mosquito could survive in summer: https://t.co/TQy6HEifkA,,,,,,,,,,,
7852,Do you know the most effective ways to protect yourself from #Zika? https://t.co/1Fa3JVn32r,,,,,,,,,,,
4925,Producing 60 million male mosquitoes a week: A Biotech Evangelist Seeks a Zika Dividend https://t.co/zPXBtuPDye,,,,,,,,,,,
1720,Wonder if it would be okay to aim at Zika mosquito's that way? https://t.co/LAwkzr3N00,,,,,,,,,,,
8630,Check out HSHS St. John's event this Tuesday. Zika: Fight the Bite will focus on the best ways to protect you and... https://t.co/NhCEc4n5eV,,,,,,,,,,,
5960,Use this field guide to identify mosquitoes that carry the Zika virus https://t.co/kimhZU63al,,,,,,,,,,,
3750,"Keeping mosquitoes out of your home can help prevent Zika, dengue, and chikungunya.  #FightTheBiteHI  #StopZika https://t.co/40PSC3Tu9s",,,,,,,,,,,
10265,Take steps now to protect your family against Zika virus and other mosquito-borne diseases: https://t.co/1LCro8aIvW https://t.co/tvcncklmix,,,,,,,,,,,
9780,Call on El Salvador to protect #reprorights in the face of #ZikaVirus @ReproRights https://t.co/23wBPGQdZj,,,,,,,,,,,
3730,Coming up on @TexasStandard Mosquitoes and Money. Lots of money. We talked with @jslovegrove abt what's happened 2 millions meant for #Zika,,,,,,,,,,,
8037,Fighting Zika Mosquitos with Tires https://t.co/sccKfZFzcu #MGWV #TFB #F4F,,,,,,,,,,,
1233,Controlling Zika mosquitoes may be 'lost cause' - https://t.co/HMAu1KgHWz https://t.co/0BAwApvQbR https://t.co/3aZlgLMO6w,,,,,,,,,,,
6565,Protect your loved ones against Zika Virus - Prevention better then cure https://t.co/1pKj26scio,,,,,,,,,,,
2653,hanging glue traps near water sources could help with the zika mosquito situation,,1,,,,,,,,,
6704,Getting Prepped for Mosquito Season (&amp; Zika) – 42316  https://t.co/8M0KFtBzbH  #survival #preppers #prepping #shtf,,,,,,,,,,,
