,tweets_VBG
258,Ya me picaron los mosquitos... 😱 espero no sea ZIKA 😱 #FelizSabado #SabadoDeGanarSeguidores
18,"Protege a tu familia de los mosquitos que causan el dengue, zika y chikungunya, ¡mantén limpio tu patio! https://t.co/aY0N6gwwNM"
282,Voy a proteger mis tweets para que no se contagien de Zika.
133,"Si a una embarazada la pica un mosquito infectado con el virus del Zika, el bebé puede nacer Sietecase. https://t.co/vlxlZlqMyR"
217,"'Verlo a simple vista (mosquito del zika) es bastante difícil, más importante son las medidas de prevención' Francisco Zamora de @usach"
100,Únete a la Jornada de Eliminación de Criaderos del Mosquito #AedesAegypti en tu comunidad.#Zika #Dengue #Chikungunya
62,Tucumán A las 7 Secretaría de Salud pide reforzar prevención ante proliferación del mosquito de zika… https://t.co/sCr9CTA108
384,"Ya me picó un mosquito, esperemos las señales del zika."
129,"Llego a Chile mosquito del Zika, más en #7AM, con @LibardoBuitrago en terreno @RogerConductor en el @FMConquistador 91.3"
26,Preocupa a diputados que el calor genere propagación del mosquito del Zika - EosNoticias: https://t.co/9JJPgIFpx4
331,"Capacitando a sectores sociales para combatir el mosquito transmisor de Zika, Dengue, Chikungunya https://t.co/UW2SNPY69E"
361,Protege a tu familia de las picaduras de mosquitos. #Olimpia es tu aliado en la lucha contra el zika. https://t.co/ErPBjg8G3s
131,Llega a Chile mosquito que transmite el zika https://t.co/KnjgnnCECB | https://t.co/6sRfXwlGkK https://t.co/q1P7yAQiVD
110,Únanse a la campaña de prevención del ZIKA. Eliminen los criaderos de mosquitos #TodosContraElZika 💪 https://t.co/1rUiVfTcHo
24,"¡Protége a tu familia del dengue, zika y chikungunya eliminando criaderos de mosquitos de tu patio! https://t.co/cBG1ZHPojS"
278,"Pese a que la OMS ha señalado que a Chile NO llegará el virus #Zika, en el matinal de @chilevision venden un repelente contra ese mosquito."
245,Estoy a una picadura de mosquito de contraer Zika y de parecer que me dio varicela a los 23. :(
307,Ya me pico el zica y todos los mosquitos habidos por haber
366,Súmate a la guerra contra el mosquito transmisor del #Zika #Honduras https://t.co/6Vbyc3STZz
108,Únete a la Jornada de Eliminación de Criaderos del Mosquito #AedesAegypti en tu comunidad.#Zika #Dengue #Chikungunya
171,Llega a Chile mosquito que transmite el zika https://t.co/i9I1OoUDxB
274,"Ayude a controlar los mosquitos que transmiten los virus del dengue, chikungunya y Zika https://t.co/rGwuIh5mtA https://t.co/GB81ksZ6Fg"
60,gente me pico un mosquito en EL MEDIO DE LA FRENTE ya 100to el zika fluyendo por mis venas
280,Vamos a trabajar junto a la OMS y nuestros socios para tomar medidas y proteger a la población del virus del zika https://t.co/zT4dmRYOnR
379,Piden a infectados con #zika evitar picadura del mosquito en EE.UU. https://t.co/TTMuzJXwUy #CDC
338,"Ya me parecía raros que el mosquitos pueda ocasionar estos, zika parecido al dengue  Pues eso es lo más posible... https://t.co/9zMYBdAv7B"
324,"Pide a la población a sumarse a  tareas de prevención  contra el mosquito transmisor del dengue, zika y Chikungunya… https://t.co/yjQ2khrJJR"
371,"Se a confirmado el primer caso de zika por transmisión sexual, se recomienda no coger con mosquitos."
368,"Pese a sus limitados recursos, la Comuna entabla una lucha frontal contra el mosquito del Zika. | Uybiix ut... https://t.co/ZyMKEzYGDR"
142,"Regreso a casa y   OH SORPRESA !   SIN LUZ @ANDEOficial   Por favor 🙏🏻😭🙏🏻😭  Barrio Seminario , mosquitos , dengue , zika !  CALOOOR !"
126,Llega a Chile mosquito que transmite el zika https://t.co/dpb2UKTY6B
48,si me pica el mosquito del zika voy a estar todo el dia cantando  rasca  zika  rasca zika zika  nanananananaaaaaaa
32,Venezolanos a merced de un mosquito y algo mas... https://t.co/9kyj1PwpqH ademas de un gobierno fracasado #Zika https://t.co/8aIe4J8xEN
275,*viaja a brasil porque es mas barato**gasta el doble porque le pico un mosquito del zika*
294,Y a mi qué me importa que el virus del Zika se transmita vía sexual? Ni que me gustara coger con mosquitos.
326,"Si a mi no de me da ZICA, con todos los mosquitos que me han picado tengo las mejores defensas de este mundo."
208,Ya me picaron los mosquitos. ¿Y el zika?
270,Vas a ser #Mamá en esta época de #Zika?  DEBES #PROTEGERTE de las picaduras de los #BICHOS… https://t.co/9vuuEKHMfB
119,Llega a Chile mosquito que transmite el zika https://t.co/AtV5frPa2t | https://t.co/Qew6MmUPgn https://t.co/C6JghAF68Q
72,"fui a las barrancas y me comieron los mosquitos , con la liga que tengo me agarro zika"
106,"Combate a Zika, Dengue y Chikungunya para proteger a familias de Centro https://t.co/GbOgFBMO6M vía @sinremitente21 @NoheliCerino"
96,Voy a importar el repelente para mosquitos con zika #IdeaMillonaria
355,Yo me hago la tranquila con el zika pero una vez en Kenya me mofaron los mosquitos y flashee malaria por dos meses
28,Salí a pasear a mis perros y no puedo estar quieto ni dos segundos por qué los condenados mosquitos andan a la orden del Zika.
279,¡Alto a los mosquitos! --&gt; alto a la propagación de enfermedades: https://t.co/2orLfYiwBc  #ZikaVirus https://t.co/bCdAlL7zUu
362,chicos me picó un mosquito en el brazo y ahora parece que tengo un tUMOR zika ya te siento
329,Únete a @ReproRights en su petición para proteger los #derechosreproductivos para enfrentar el #Zika https://t.co/C1f9phfusV
112,"Voy a llamar a la oficina,  decirles que estoy con anginas, que me picó el mosquito del Zika y pego alto faltazo♫"
160,Salí a fumar al patio y me picaron como mil mosquitos. Ojalá que algunos sean Aedes Aegypti y mañana despierte con Zika o Dengue (?
47,@DavisZone  Brasil combatira el zika con millones de mosquitos machos esterilizados mediante radiación para que se apareen con hembras
1,¿Va a viajar al exterior con los niños este verano? Sepa cómo protegerlos del #Zika. https://t.co/rlN4dhHa9c https://t.co/zZHmRwTF1Y
111,se me acerca un mosquito y ya me desespero porque pienso que es dengue zika y todo junto
291,"¿Viajáis a un país con riesgo de malaria, dengue o zika este verano? ¡Resolvemos vuestras dudas! #mosquito #viajeros https://t.co/n22m2YmpFy"
163,"Ya me picó un mosquito, voy tramitando mi crónica de tener zika en @RevistaPaco"
