Unnamed: 0,tweets_pronouns,Notes,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies
18542,Pretty sure I am spending my entire night getting repeatedly bit by mosquitoes pumping more &amp; more zika virus into me,,1,1,1,,,,,,,
18462,I'm much more confident in the US constitution protecting us from either presidential candidate than the US Gov't protecting us from Zika.,,1,,,,,,,,,
4097,Yikes! Mkes me appreciate Carlisle's resistance to spraying. Zika spraying kills millions of honeybees @CNN https://t.co/FgYFVgjK9S,,1,,,,,,,,,1
27355,"I got 'bitten' by mozzies THREE times today. So if y'all don't hear from me, it's the #Zika. Or the Skintastic I sprayed all over my body.",,1,,1,,,,,,,
1002,Pray for me I forgot to put on mosquito repellent and we got Zika out here 😳😭,,1,,,,,,,,,
22677,I know they seem like a good idea but mosquito repellent wrist bands just don't work https://t.co/bWa4QR7CZG #ZikaVirus,,1,,,,,,,1,,
25858,@jk_rowling I hope the protection against insects on Castelobruxo is a strong one. Because we are suffering a lot because of the Zica Virus.,,1,,,,,,,,,
10574,Is there truly a way to protect from Zika? Unless you close all borders I don't believe you can prevent the spread of the virus.,,1,,,,,,,,,
28708,@DhesiMD i guess they should start spraying aerosol at the countries badly affected by zika or planting the plants that shoo away mosquitoes,,1,,,,1,,,,,
27509,In other news if anyone's concerned about getting zika or dengue just take me around with you. 27 bites. On my left leg alone. And I sprayed,,1,1,1,,,1,,,,
6225,@Zika_News I pray that the country gets all the help they need to protect the people who lives there. God bless you'll !,,1,,,,,,,,,
25162,We can protect ourselves from Zika: Most people with the Zika virus have either no symptoms or mild disease. ... https://t.co/6B4sPAj1Y7,,,,,,,,,,,
4228,South Carolina killed millions of bees while spraying for Zika mosquitos. My state is so trash it's ridiculous.,,1,,,,,,,,,1
4850,#Zika  I live in So. Florida . We have a bad breakout. They are spraying right now. Contacted the CDC. Actually got immediate response.💐🌸🌟,,1,,,1,,,,,,
30261,I had to spray bug repellent on my underwear (and every other article of clothing I have) so I won't get Zika or Dengue. 🙃,,1,,,,,1,,,,
23158,Zika virus~conquer your fear with a good mosquito repellant. But no deet~I use a great herbal spray~Deet makes my lips numb~,,1,,,,,1,,,,
2227,@captrgutz Mosquito repellant for days! I'm legitimately concerned about zika; going to be taking every precaution.,,1,,,,,1,,,,
8545,#AceNewsReport More Mosquitoes With Zika Found in Miami Beach: Aerial insecticide spraying i... https://t.co/CqO6igVatf @AceNewsServices,,,,,,,,,,,
14687,Did u say Mr. Pres. has the floor? He is hoping lots will die from ZIKA virus. He's protected doesn't care about us https://t.co/coLAUILBUS,,1,,,,,,,,,
8633,@EricTrump. Foul odor coming from the direction of Pensacola last night. And I thought it was from the Zika spraying. #BasketOfDeplorables,,1,,,,,,,,,
9569,Do you know all the ways #Zika virus can be transmitted? Listen to our webcast to learn how to protect employees https://t.co/XEKANy1zA1,,,,,,,,,,,
10359,If you suspect a product is being falsely marketed as mosquito repellent/protection against Zika contact my office:  https://t.co/fVO85BMLlA,,,,,,,,,,,
18798,Zika virus: Will condoms and repellent be enough to protect our athletes in Rio?: As the World Health Organis... https://t.co/azi32hUtKG,,,,,,,,,,,
20925,I was too cool for bug spray; now I have Zika - https://t.co/RLxIa1gAA7 via https://t.co/biZt0qCKpI,,,,,,,,,,,
4128,We must protect pregnant women from the Zika virus https://t.co/NHAnYNMv7m,,,,,,,,,,,
22975,It takes everyone to protect our next generation. Please help to control mosquitoes and stop the spread of Zika. https://t.co/8g2lZjuB7n,,,,,,,,,,,
16127,Zika FAQ: I'm pregnant. What steps should I take to protect myself? https://t.co/oFN0VLkW4G https://t.co/iyCWATCf6d,,,,,,,,,,,
9364,How you gonna invite me to a bbq and not have mosquito repellent like zica out her that shit not playing,,1,,,,1,,,,,
24734,DDT why are we neglecting something that protects us from infected mosquitos like malaria zika west nile  etc. #DDT #Zika @GOP,,1,,,,1,,,,,
20043,Got this f**ker  I am NOT getting Zika tooooday Nope  I guess I'll be spraying repellant before every shift from now on  Ugh,,1,1,,,,1,,,,
26018,If Zika and Guillian-barre syndrome are related  Tomorrow self I buying a bottle of insect repellant and a insect lamp,,1,,,,,1,,,,
2585,Help us #ZAPzika by signing our petition to Congress. Just a minute of your time can help protect moms &amp; babies https://t.co/HZqTlivLCr,,,,,,,,,,,
16474,That Zika virus. Shower in holy water and get dipped in bug repellent and I'll be over there hooping too  https://t.co/5wRzGmCoBj,,1,,,,,,,,,
27052,"@PatrickGregry Thus African, Arabic, Persian, ME Jewish populations with possible immunity to 'old' Zika will not be protected against Zika+",,,,,,,,,,,
29659,"Spraying for Zika worries me some. We have had 1sthand experience of house spraying and although we will never know,had 2 very sick children",,1,,,,,,,,,
6810,"I better bring my mosquito repellent, for my coming trip to Chile, Argentina, and Uruguay. Better safe than sorry with the Zika virus!",,1,,,,,1,,,,
1905,I haven't seen any tweets about this but S. Carolina sprayed for mosquitos w/ Zika but ended up killing millions of bees in the process,,1,,,,,,,,1,
2729,'Stop. This is crazy... We can't live without these honeybees': Zika spraying kills... https://t.co/dhAYnZ31eP by @CNN via @c0nvey,,,,,,,,,,,
21956,"Sportando: DeMarcus Cousins on Zika virus: 'I feel protected by God, I'm not going to run around in fear': Co... https://t.co/U1zdTGeb8t",,,,,,,,,,,
949,If @blackkhannah goes to the Olympics I'm going to go with her and be in charge of spraying her with bug spray #ZikaVirus,,1,,,,,,1?,,,
27454,@tradeshowwendy I sure hope my state sprays this year to kill them .. I'm worried about the  Zika virus,,1,,,,1,,,,,
4613,Bee-pocalypse: What lessons did we learn from Zika spraying? - https://t.co/69fg2nJI0S #GoogleAlerts,,,,,,,,,,,
6141,"The talk of Zika treatments, Zika funding, Zika mosquito spraying has us beekeepers all… https://t.co/K3uPh3f0x4",,,,,,,,,,,
11346,"Our #Bodybutter is packed w/ 5 moisturizers, essential oils and CDC recommended all natural non toxic #Zika protect https://t.co/EZK4OA0rtP",,,,,,,,,,,
24191,How will this be handled @SpeakerRyan @realDonaldTrump to protect our Country from #Zika??  https://t.co/nfftor3fb5,,1,,,,,,,,,
21249,@jimcramer @aptedjb1 We've had a noticeable lack of bees and butterflies in ATL this yr. I think it has to do w/ Zika-related spraying.,,1,,,,,,,,1,
5610,This week I urged @DeptofDefense to use the @910AW and its aerial spray capability to combat the spread of #Zika. https://t.co/I5Id2NKAxI,,1,,,,,,,,,
3961,"Sedihnya tengok video baby yang kena Zika tu. May Allah protects all of us, especially the preggers 😞",,1,,,,,,,,,
2276,I just combatted #ZikaVirus with 8 cents worth of bug spray.,,1,,,,,1,,,,
18057,"@SenSchumer has a 3-Point plan to attack #ZikaVirus; Build a firewall to protect U.S w. help of #NIH, #CDC &amp; #USAID https://t.co/SS3O1oJRKM",,,,,,,,,,,
5970,Our founder added #Natural #Zika repellent to #haircare #skincare products https://t.co/PgnFI4HlWp  #jazz #model https://t.co/6NU5kPQ2D3,,,,,,,,,,,
14662,"Zika doesn’t take a vacation. @RepKayGranger, act NOW to approve the emergency funding we need to protect our health! #StopZika",,,,,,,,,,,
2209,Make sure you have protection from Zika - we have products that will keep mosquitoes away. https://t.co/4wNtVuZjSl,,,,,,,,,,,
20886,@YourAnonNews i wish you could spread some awareness on how Monsanto wants to spray chemicals to stop ZIKA without our consent.   help?,,1,,,,,,,,,1
9440,"'We cannot spray our way out of #Zika. We have to engage our community and partners,' @ushahmd. #BakerHealth",,,,,,,,,,,
18609,my mother is terrified that I'll get the Zika virus and so she made me wear a mosquito repellent patch,,1,,,,,,,1,,
21916,McConnell: Today Senate Dems chose partisan politics over protecting the health of pregnant women &amp; babies &amp; supporting our veterans.  #Zika,,,,,,,,,,,
8394,"As a mom, I know how important it is to wear repellent. Prevent #Zika by preventing mosquito bites. #AtoZika  https://t.co/qrLORHizbf",,1,,,,,,,,,
569,Worried about mosquitoes but not sure what insect repellent to pick? I shared some tips with @tarahaelle https://t.co/87Pc2cFMnn #ZikaVirus,,,,,,,,,,,
14955,How much damage to the environment are we currently causing due to the excessive Zika mosquito spraying ? https://t.co/XK4FZY5Pu8,,1,,,,,,,,1,
24106,People in Brazil screaming zika at Hope Solo? WTF? How you blame someone for not wanting zika? I'd have a suitcase full of insect repellant,,1,,,,,1,,,,
3862,I just saw the video of those babies which infected with Zika virus. Mashaa Allah. May Allah protect us 😢,,1,,,,,,,,,
5434,Glad to making a difference with our mosquito repellent fabrics #zika #ZikaVirus,,,,,,,,,,,
29421,#Pregnant? Worried about being bitten by #mosquitos? Follow us to find the perfect answer. #insectrepellentclothing #insectrepellent #zika,,,,,,,,,,,
23419,"@Maverick_SS_49 @timkaine I'd much prefer we protect women and children,ya know from Zika,than legislate your faux morality.",,1,,,,,,,,,
20778,"@JonFeere @FriendlyJMC Plague, Zika, when are our leaders going to protect us from these viral &amp; bacterial invaders? https://t.co/KW75GlUaC9",,1,,,,,,,,,
26530,I introduced legislation to provide our troops with additional protections from #Zika. Congress must act now. https://t.co/CRfR6Nw0hb,,,,,,,,,,,
21386,I seriously have the most over protective coworkers of all time 😂 #zika #dexter #miami,,1,,,,,,,,,
4673,"@beneaped I don't know, but if they are already spraying for Zika, maybe they can swing by Trump HQ to spray before they lay eggs",,1,,,,,,,,,
1766,The beginning of us being dependent on GMO food?: Millions of bees dead after S. Carolina sprays for Zika mosquitoes https://t.co/lVbWsKQoIF,,1,,,,,,,,1,
24226,"@BobHarig I just got back from Rio. Zika issue seems little overblown. Its winter there, very few mosquitos. Bug spray and they will be fine",,1,,,,,,,,,
20487,I'm sure she didn't say Rick Scott has the spraying down pat so it's under control. Smh https://t.co/wqubS2xu6t,,1,,,,,,,,,
10293,"We must do more to ensure the US is fighting #Zika and protecting women's health, in particular https://t.co/eCDvMvW5RP",,,,,,,,,,,
19934,Protecting the deep forest habitat of local bats (aka not logging) may be our best protection against #ZikaVirus ! https://t.co/2GVcyTc61i,,1,,,,,,,,1,
2326,#Zika funding from Congress will help our #publichealth experts continue vital work to protect the American people from this virus.,,,,,,,,,,,
29561,I really hope the authorities are protecting us against the influx of Zika. Tighten our border security pls.,,1,,,,,,,,,
19907,Do not spray zika repellant on skin under clothes. I don't understand this @CDCgov #health #Rio2016 #ZikaVirus,,1,,,,,,,,,
3105,And then I feel and itch and j remember the Zika virus is in Florida so I run into her house and grab bug spray. I spray myself all up in it,,1,,,,,1,,,,
12163,"The Cost of Agrochemicals.  Take a look   Zika, Brazil, spraying...GMO mosquitos.  Some weirdo today told me that... https://t.co/RqGvZ6MS79",,1,,,,,,,,,
8669,DENGUE ALERT IS ON!! ZIKA VIRUS IS DEFINITELY WORRYING...   OUR MUST HAVE to ensure protection for our precious... https://t.co/iPOkGIEyrf,,,,,,,,,,,
24430,"@WhiteHouse educating Americans? how hard is it to tell ppl to wear bug repellant? How about we bring back DDT, reducing Zika AND Malaria?",,1,,,,,,,,,
10885,People who go to Rio Games should wear mosquito repellent for 3 wks after so they don't give our mosquitos #Zika: Schuchat #SpotlightHealth,,,,,,,,,,,
15388,.@DrFriedenCDC: #Zika is coming. To fully protect Americans we must have the funds we need → https://t.co/ChW3bxEQ7j,,,,,,,,,,,
13468,.@gmleu We have to invest in protecting everyone from Zika. #atozika https://t.co/3tU7D5rloR,,,,,,,,,,,
10568,We need to put our political differences aside &amp; finally pass #Zika response plan that will help protect Americans from this growing crisis.,,,,,,,,,,,
4223,Let us protect we of the Virus #Zika,,1,,,,,,,,,
20335,"Candidly, I'm surprised liberals haven't tried to make the Zika mosquito a protected insect.",,1,,,,,,,,,
18748,"Off to buy my repellant, bug spray, mosquito net and electric mosquito swatter *skips off* #zikavirus #nopeaintgettinit",,1,,,,,1,,1,,
2699,'Stop. This is crazy... We can't live without these honeybees': Zika spraying kills... https://t.co/WU1rjHHmN8 by @CNN via @c0nvey,,,,,,,,,,,
2853,"Not that I'm denying that it's necessary during the Zika outbreak, it's just that spraying neighborhoods with poison is always complicated.",,1,,,,,,,,1,
7676,I thought he was spraying for bugs. #Zika https://t.co/Bcd91EM1IM,,1,,,,,,,,,
14018,"I founded this OFF! Spray in my counter, and it says 'repels Mosquitoes that may carry 'WEST NILE VIRUS' and the Zika viruses carries Part 1",,1,,,,,,,,,
26799,@RTUKnews shouldn't they already know the risks associated with unprotected sex. I think Zika virus is minimal compared to some other sti's.,,1,,,,,,,,,
32330,#DoYourJob @HouseGOP we don’t need to roll back protections from harmful pesticides to protect Floridians from #Zika https://t.co/gOwloZSoNi,,1,,,,,,,,1,
3761,"There are 53 *confirmed* cases of the #ZikaVirus in MI, and we're breaking down what you need to know to protect yourself @ 5:34 on #MTM",,,,,,,,,,,
9458,Avon Representative her try out our skin so soft collection each one has the oil to protect you from zika https://t.co/hxOmjzUCwy,,,,,,,,,,,
3665,"I may be a savage, but I'm also joking. Don't take the Zika Virus lightly this year. Bug spray and Vitamin E will prevent mosquitos.",,1,,,,,,,,,
30711,How can I prevent the #ZikaVirus and protect my family? Check out these specific tips: https://t.co/7ss4FGpCmn https://t.co/jhAuv3Pq4i,,,,,,,,,,,
5246,The Zika virus will reach NJ this season. The only defense is effective bug spray. We've got it at Nature's Pavilion https://t.co/wJZCn7dy5d,,,,,,,,,,,
27220,"My grandparents keep freaking out about Zika and have made me put on bug spray every single day, even though it clearly isn't working 🙃🙃",,1,,1,,,1,,,,
9442,"“We can’t spray our way out of this” @ushahmd #Zika response is about more than resources, this is about behaviour changes #bakerhealth",,1,,,,,,,,,
20448,@ParaKitoUSA A2: I try to stay updated with all #zika related news/info as I'm pregnant and must protect myself and my baby !! #PKchat,,1,,,,,,,,,
24079,Leon county first case of zika. That's Tallahassee. I'm feeling like carp. Here's to hoping it's just a summer cold. Use repellent!,,1,,,,,,,,,
5265,@thinkpuertorico and bug spray sounds a better idea rather than banned tourism. I know no one with Zika and I live in PR,,1,,,,,,,,,
6679,"I hope Congress, will stop playing politics and work quickly to fund critical-response efforts to protect pregnant women against Zika.",,1,,,,,,,,,
23388,"Zika 101- The Missing Medical School Lectures https://t.co/s5Rol2nNBp via @YouTube There is No reason to spray us like bugs with neurotoxin,",,,,,,,,,,,
2005,"Zika spraying has killed millions of honeybees, beekeepers say https://t.co/qTWVY6UBrT https://t.co/iPAJjXAizY i… https://t.co/iWfLzlFmoO",,,,,,,,,,,
21922,@SenateRPC @SenateGOP we protected vaginas from Republicans #Zika #ZikaVirus https://t.co/6zNywCjQ2d,,,,,,,,,,,
18666,"Our job is to to protect pregnant woman, Gov. Rick Scott says at Zika roundtable in Naples. #zika",,,,,,,,,,,
3783,@FLGovScott either Zika's gonna kill us here in Miami or the spray for them will. #MoreLuckyAmericans,,1,,,,,,,,,
32758,Yo i got so spooked about Zika cause I'm going to DR in May but I found out I can bring bug spray on the plane SO ITS FUCKING LIT,,1,,,,,1,,,,
7935,"Zika has arrived in Florida.   To protect us, President Trump will build a giant mosquito net.   The mosquitos will pay for the net.",,,,,,,,,,,
3400,'We cannot spray our way out of this.' Why current methods of controlling #Zika mosquitoes may be a lost cause.  https://t.co/FFQ0n2YHns,,,,,,,,,,,
1996,@phil500 also they are being poisoned as we spray for Zika 😫,,1,,,,,,,,,
26407,Just in case y'all sleep ... I've been seeing less bees this year... Since they been spraying that anti-zika... https://t.co/aY8PyDdyCI,,1,,,,,,,,1,
24361,#marshablackburn protecting infants lives I don't think so.  Slew of anti-abortion laws may thwart Zika research https://t.co/18dyL3mvQW,,,,,,,,,,,
23454,Watch out for the Zika virus. I mean not that we would even know 😂 just wear the spray girl so ur babies are beautiful.,,1,,,,,,,,,
2895,"NFR: Many questions about Zika, spraying, bees and more.  We present  one side of this multi-sided  conflicting,... https://t.co/tYZaqtSW77",,,,,,,,,,,
20688,My mama sends me a message telling me to make sure I protect myself cause the Zika virus going around . . . but how 🤔🤔,,1,,,,,,,,,
9328,In this informative video HRC tells us Zika is transmitted through mosquitos and we should use mosquito repellant https://t.co/aZwfLyzltg,,,,,,,,,,,
24983,@SpeakerRyan Where's the money for protecting citizens from Zika? Have you no soul? I support PP and ALL women's rights!,,1,,,,,,,,,
5393,Many of you have asked if our Avon Bug Guard products protect against the Zika virus. The best way to prevent... https://t.co/2pVJPeRjIH,,,,,,,,,,,
11335,Mosquitoes' rapid spread poses threat beyond Zika - Reuters I'm stocking up on skin so soft by Avon n bug spray  https://t.co/3TCckZ6gIn,,1,,,,,1,,,,
27902,may Allah protect us from zika,,1,,,,,,,,,
9211,Seen people posting angrily about NYC spraying for Zika mosquitoes in predominantly DR &amp; PR neighborhoods. Am I naive for being relieved?,,1,,,,,,,,,
4586,"@MackayIM I mean. I know no immunology, but it might make sense that specific Zika AB's protect from 2nd Zika infection?",,1,,,,,,,,,
31089,#Zika in the U.S is about to get bigger than people think! Do you have a protection plan? https://t.co/JerXinFQ4h https://t.co/gwqFxRGyHE,,,,,,,,,,,
7123,"There is so much about #ZikaVirus we don't know. In order to be as prepared as possible to protect women &amp; children, new funding is needed.",,1,,,,,,,,,
18767,Will condoms and repellent be enough to protect our athletes from Zika virus in Rio? https://t.co/Wv0WbeaNCv,,,,,,,,,,,
2673,"@CNN Anything man puts his hands in/on, he has a tendency to fu*k it up! You get my point? #Honeybees #medicine #food #gas #Zika spraying",,1,,,,,,,,,
24732,"It's time to stop playing political games, and start protecting our citizens against the Zika virus. https://t.co/HAQDF0CZM9",,,,,,,,,,,
5545,@heyitsmelo I have a question for you: Do you believe and unborn child deserves to be protected from the Zika Virus?,,1,,,,,,,,,
15307,"Republicans: our first priority is to protect Americans!  Also, republicans: no, we won't fund Zika virus research!  https://t.co/ocIZ22TOc8",,,,,,,,,,,
